#
 0,           UCB_GPM,20,  0.17,  0.00, *                   |                   ,  0.17,  0.19, 46.64
 0,            PI_GPM,20,  0.17,  0.00, *                   |                   ,  0.17,  0.19, 47.15
 0,            EI_GPM,20,  0.17,  0.00, *                   |                   ,  0.17,  0.19, 51.27
 0,           UCB_GPM,25,  0.17,  0.00, *                   |                   ,  0.17,  0.19, 44.71
 0,            PI_GPM,25,  0.17,  0.00, *                   |                   ,  0.17,  0.19, 50.89
 0,            EI_GPM,25,  0.17,  0.00, *                   |                   ,  0.17,  0.19, 48.77
 0,           exploit,25,  0.17,  0.02, *                   |                   ,  0.17,  0.22, 1.35
 0,       gpt/exploit,25,  0.17,  0.02, *-                  |                   ,  0.17,  0.22, 203.09
 0,           UCB_GPM,30,  0.17,  0.00, *                   |                   ,  0.17,  0.19, 43.56
 0,            PI_GPM,30,  0.17,  0.00, *                   |                   ,  0.17,  0.19, 48.82
 0,            EI_GPM,30,  0.17,  0.00, *                   |                   ,  0.17,  0.19, 50.11
 0,       gpt/exploit,30,  0.17,  0.02, *-----------        |                   ,  0.17,  0.48, 203.15
 0,             DEHB,100,  0.17,  0.00, *                   |                   ,  0.17,  0.22, 5.30
#
 1,           exploit,20,  0.19,  0.02, *-                  |                   ,  0.17,  0.44, 1.29
#
 2,    gemini/exploit,20,  0.19,  0.02, *---------          |                   ,  0.17,  0.44, 2.50
 2,    gemini/exploit,25,  0.19,  0.02, *--------------     |                   ,  0.17,  0.64, 2.47
 2,           exploit,30,  0.19,  0.02, *                   |                   ,  0.17,  0.24, 1.45
 2,       gpt/exploit,20,  0.19,  0.02,  *                  |                   ,  0.17,  0.19, 203.27
 2,    gemini/exploit,30,  0.19,  0.02,  *                  |                   ,  0.17,  0.48, 2.60
 2,       gpt/explore,25,  0.21,  0.24,  *         ---------|                   ,  0.17,  0.75, 203.11
 2,              DEHB,30,  0.21,  0.06,  *                  |                   ,  0.17,  0.39, 4.58
 2,               rrp,11,  0.22,  0.20, - *       ------    |                   ,  0.17,  0.71, 0.47
 2,               TPE,20,  0.22,  0.23,   *         -----   |                   ,  0.17,  0.68, 13.28
 2,           explore,20,  0.22,  0.20, - *        ---------|---                ,  0.17,  0.68, 1.28
 2,       gpt/explore,20,  0.22,  0.30, - *             ----|                   ,  0.17,  0.69, 203.16
 2,            random,25,  0.22,  0.03,  -*-------------    |                   ,  0.17,  0.55, 0.00
 2,           explore,25,  0.22,  0.26, - *           ------|-----------        ,  0.17,  1.00, 1.28
 2,            random,30,  0.22,  0.03, - *-----------      |                   ,  0.17,  0.51, 0.00
 2,               TPE,30,  0.22,  0.01, - *----------       |                   ,  0.17,  0.52, 19.64
 2,    gemini/explore,30,  0.22,  0.18, - *       ----------|                   ,  0.17,  0.89, 2.66
 2,       gpt/explore,30,  0.22,  0.21, --*         --------|---                ,  0.17,  0.72, 203.11
 2,              DEHB,20,  0.22,  0.20, --*         --      |                   ,  0.17,  0.56, 3.87
 2,              DEHB,25,  0.22,  0.22, - *         --------|-                  ,  0.17,  0.66, 3.67
 2,    gemini/explore,25,  0.23,  0.22, --*          -------|-                  ,  0.17,  0.70, 2.53
 2,            random,20,  0.23,  0.22,    *         ----   |                   ,  0.17,  0.53, 0.00
#
 3,           explore,30,  0.23,  0.44, -- *                |  ---------        ,  0.17,  0.84, 1.28
 3,    gemini/explore,20,  0.39,  0.31, --        *      ---|----               ,  0.17,  0.83, 2.49
 3,               TPE,25,  0.39,  0.21,  -        * --      |                   ,  0.17,  0.67, 15.75
#
 4,        baseline,1023,  0.83,  0.47,    --------------   |           *       ,  0.17,  1.00, 0.00
