#
 0,             DEHB,100,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 6.61
 0,           UCB_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 72.55
 0,            EI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 77.13
 0,            PI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 74.79
 0,            EI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 77.13
 0,           UCB_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.15, 72.36
 0,            EI_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 77.43
 0,            PI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 74.85
 0,           UCB_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 72.61
 0,            PI_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 75.14
 0,       gpt/exploit,30,  0.00,  0.02, *-----              |                   ,  0.00,  0.17, 202.96
 0,           exploit,20,  0.00,  0.00, *-----              |                   ,  0.00,  0.16, 1.34
 0,           exploit,25,  0.01,  0.00, *-----              |                   ,  0.00,  0.17, 1.03
 0,       gpt/exploit,25,  0.01,  0.15, *                   |                   ,  0.00,  0.16, 202.81
 0,           exploit,30,  0.01,  0.00, *                   |                   ,  0.00,  0.15, 1.04
 0,    gemini/exploit,20,  0.01,  0.02, *-----              |                   ,  0.00,  0.16, 2.11
#
 1,       gpt/exploit,20,  0.01,  0.00, *-----              |                   ,  0.00,  0.15, 202.82
 1,    gemini/exploit,25,  0.01,  0.02, *-----              |                   ,  0.00,  0.17, 2.10
 1,    gemini/exploit,30,  0.01,  0.00, *-----              |                   ,  0.00,  0.16, 2.10
 1,              DEHB,30,  0.01,  0.00, *                   |                   ,  0.00,  0.02, 4.35
 1,              DEHB,25,  0.01,  0.01, *                   |                   ,  0.00,  0.02, 4.27
 1,            random,30,  0.01,  0.00, *                   |                   ,  0.00,  0.01, 0.00
 1,               TPE,25,  0.01,  0.00, *                   |                   ,  0.00,  0.03, 13.31
 1,               TPE,30,  0.01,  0.00, *                   |                   ,  0.00,  0.08, 15.94
 1,              DEHB,20,  0.01,  0.00, *                   |                   ,  0.00,  0.15, 4.32
 1,            random,25,  0.01,  0.00, *                   |                   ,  0.00,  0.02, 0.00
 1,            random,20,  0.01,  0.00, *                   |                   ,  0.00,  0.02, 0.00
 1,    gemini/explore,20,  0.01,  0.02, *-----              |                   ,  0.00,  0.18, 2.12
 1,               TPE,20,  0.01,  0.01, *                   |                   ,  0.00,  0.15, 10.96
#
 2,               rrp,11,  0.01,  0.02, *                   |                   ,  0.00,  0.16, 0.22
 2,       gpt/explore,20,  0.01,  0.03, *-----              |                   ,  0.00,  0.17, 202.89
 2,       gpt/explore,25,  0.01,  0.02, *------             |                   ,  0.00,  0.18, 202.80
 2,       gpt/explore,30,  0.01,  0.15, *                   |                   ,  0.00,  0.18, 202.84
 2,           explore,30,  0.02,  0.07, *  ---              |                   ,  0.00,  0.18, 1.11
 2,    gemini/explore,30,  0.02,  0.02, *-----              |                   ,  0.00,  0.17, 2.12
 2,    gemini/explore,25,  0.03,  0.14, *     -             |                   ,  0.00,  0.18, 2.16
 2,           explore,25,  0.03,  0.14, *                   |                   ,  0.00,  0.17, 1.04
 2,           explore,20,  0.03,  0.14,  *                  |                   ,  0.00,  0.19, 1.12
#
 3,         baseline,864,  0.18,  0.27, ------ *         ---|------------------ ,  0.00,  0.99, 0.00
