#
 0,           UCB_GPM,30,  0.13,  0.01,     -*-             |                   ,  0.06,  0.17, 121.00
 0,            EI_GPM,20,  0.13,  0.01,       *             |                   ,  0.11,  0.17, 2823.21
 0,           UCB_GPM,25,  0.13,  0.02,     - *-            |                   ,  0.06,  0.18, 119.32
 0,            PI_GPM,25,  0.13,  0.01,       *--           |                   ,  0.07,  0.18, 128.10
 0,            EI_GPM,25,  0.13,  0.01,  ---- *-            |                   ,  0.04,  0.17, 132.52
 0,            PI_GPM,30,  0.13,  0.01,       *             |                   ,  0.11,  0.17, 122.63
 0,           UCB_GPM,20,  0.13,  0.01,     - *-            |                   ,  0.11,  0.18, 1279.40
 0,            EI_GPM,30,  0.13,  0.02,     - *-            |                   ,  0.10,  0.17, 125.39
#
 1,            PI_GPM,20,  0.13,  0.02,       *-            |                   ,  0.11,  0.17, 2595.08
#
 2,             DEHB,100,  0.17,  0.06,      -  *           |                   ,  0.12,  0.22, 105.56
#
 3,               TPE,30,  0.19,  0.06,       -- *  --      |                   ,  0.07,  0.26, 1340.10
#
 4,               TPE,20,  0.20,  0.08,        -- *   -     |                   ,  0.11,  0.28, 9964.74
 4,              DEHB,30,  0.20,  0.06,       ----*   ----  |                   ,  0.12,  0.47, 96.68
 4,           explore,30,  0.21,  0.09,     ----   *  --    |                   ,  0.07,  0.34, 10.37
 4,           explore,25,  0.21,  0.10,       -    *  -     |                   ,  0.13,  0.28, 10.76
 4,               TPE,25,  0.21,  0.07,        --  * --     |                   ,  0.11,  0.27, 1228.97
 4,    gemini/explore,20,  0.21,  0.12,    ---     *  -     |                   ,  0.06,  0.27, 158.69
 4,              DEHB,25,  0.22,  0.05,          - * -----  |                   ,  0.14,  0.32, 97.30
 4,            random,30,  0.22,  0.07,       ---   * -     |                   ,  0.07,  0.28, 0.00
 4,    gemini/explore,25,  0.22,  0.11,     ---     * -     |                   ,  0.07,  0.28, 119.56
 4,               rrp,17,  0.23,  0.12,       --    *   ----|----               ,  0.12,  0.49, 347.08
 4,              DEHB,20,  0.23,  0.06,           - *  -----|--                 ,  0.12,  0.44, 99.47
 4,            random,25,  0.24,  0.06,       ----   *-     |                   ,  0.12,  0.29, 0.00
#
 5,    gemini/explore,30,  0.25,  0.04,      ------   *     |                   ,  0.10,  0.27, 119.90
 5,       gpt/exploit,20,  0.25,  0.00,         ------*     |                   ,  0.10,  0.27, 400.40
 5,    gemini/exploit,25,  0.25,  0.00,           ----*     |                   ,  0.12,  0.26, 120.20
 5,    gemini/exploit,20,  0.25,  0.00,         ----- *     |                   ,  0.10,  0.26, 142.48
 5,           explore,20,  0.25,  0.06,         --    *-    |                   ,  0.14,  0.36, 13.85
 5,       gpt/exploit,25,  0.25,  0.00,          -----*     |                   ,  0.07,  0.26, 319.13
 5,    gemini/exploit,30,  0.25,  0.00,          -----*     |                   ,  0.15,  0.27, 120.22
#
 6,       gpt/exploit,30,  0.25,  0.00,       --------*     |                   ,  0.07,  0.26, 319.99
 6,           exploit,20,  0.25,  0.00,        -------*     |                   ,  0.07,  0.30, 14.89
 6,           exploit,25,  0.25,  0.00,               *     |                   ,  0.24,  0.27, 11.28
 6,       gpt/explore,25,  0.25,  0.06,       ----    *     |                   ,  0.04,  0.28, 315.87
 6,           exploit,30,  0.25,  0.00,          -----*     |                   ,  0.16,  0.27, 10.77
 6,       gpt/explore,30,  0.25,  0.09,       --      *     |                   ,  0.12,  0.28, 319.26
 6,            random,20,  0.25,  0.04,       ------  *-    |                   ,  0.12,  0.41, 0.00
 6,       gpt/explore,20,  0.26,  0.00,        -------*-    |                   ,  0.12,  0.29, 392.07
#
 7,       baseline,53662,  0.37,  0.02,                    -|*--                ,  0.14,  0.64, 0.34
