#
 0,           UCB_GPM,25,  0.17,  0.01, *-                  |                   ,  0.17,  0.21, 62.20
 0,            PI_GPM,25,  0.17,  0.01, *-                  |                   ,  0.17,  0.22, 65.22
 0,            EI_GPM,25,  0.17,  0.03, *-                  |                   ,  0.17,  0.29, 67.40
 0,           UCB_GPM,30,  0.17,  0.01, *-                  |                   ,  0.17,  0.25, 62.46
 0,            PI_GPM,30,  0.17,  0.04, *                   |                   ,  0.17,  0.33, 65.06
 0,            EI_GPM,30,  0.17,  0.00, *-                  |                   ,  0.17,  0.23, 67.66
#
 1,           UCB_GPM,20,  0.18,  0.01, *-                  |                   ,  0.17,  0.34, 62.55
 1,            PI_GPM,20,  0.18,  0.04, *                   |                   ,  0.17,  0.24, 65.59
#
 2,            EI_GPM,20,  0.20,  0.11,  *   --             |                   ,  0.17,  0.35, 67.17
 2,             DEHB,100,  0.20,  0.06,  * --               |                   ,  0.17,  0.29, 5.83
 2,    gemini/exploit,30,  0.21,  0.05, - * --              |                   ,  0.17,  0.40, 1.85
 2,    gemini/exploit,25,  0.21,  0.06, - * --              |                   ,  0.17,  0.33, 1.91
 2,       gpt/exploit,25,  0.21,  0.02, - *----             |                   ,  0.17,  0.32, 202.58
 2,           exploit,30,  0.21,  0.07, - * --              |                   ,  0.17,  0.41, 0.94
 2,    gemini/exploit,20,  0.22,  0.03, --*---              |                   ,  0.17,  0.31, 1.99
 2,           exploit,25,  0.22,  0.04, --* ---             |                   ,  0.17,  0.35, 0.93
#
 3,               TPE,30,  0.22,  0.05, --* -----           |                   ,  0.18,  0.37, 17.35
 3,               TPE,25,  0.23,  0.08,    *--              |                   ,  0.17,  0.33, 14.60
 3,           exploit,20,  0.23,  0.05,  - *                |                   ,  0.18,  0.41, 0.93
#
 4,               TPE,20,  0.24,  0.04,  - *---             |                   ,  0.17,  0.38, 11.92
 4,            random,30,  0.24,  0.08,  - *  ---           |                   ,  0.17,  0.38, 0.00
 4,       gpt/exploit,30,  0.24,  0.08, -  * -              |                   ,  0.17,  0.33, 202.60
 4,       gpt/exploit,20,  0.25,  0.05,  -- *--             |                   ,  0.17,  0.34, 202.66
 4,            random,25,  0.25,  0.04,   - *-              |                   ,  0.21,  0.31, 0.00
 4,            random,20,  0.27,  0.09, --- *  -            |                   ,  0.17,  0.36, 0.00
#
 5,       gpt/explore,20,  0.28,  0.10,  --  * --           |                   ,  0.17,  0.40, 202.59
 5,       gpt/explore,30,  0.28,  0.06,   -- * --           |                   ,  0.17,  0.39, 202.59
 5,           explore,30,  0.28,  0.07,   -- *  --          |                   ,  0.17,  0.40, 0.93
 5,    gemini/explore,25,  0.29,  0.08, ---  * ----         |                   ,  0.17,  0.41, 1.91
 5,           explore,20,  0.29,  0.07,   -   *---          |                   ,  0.17,  0.38, 0.93
 5,       gpt/explore,25,  0.30,  0.10, --    *--           |                   ,  0.18,  0.36, 202.60
#
 6,    gemini/explore,20,  0.31,  0.08, ----  * -           |                   ,  0.18,  0.38, 2.10
 6,           explore,25,  0.31,  0.10, ---   *---          |                   ,  0.17,  0.41, 0.94
 6,    gemini/explore,30,  0.31,  0.07,  ---  *             |                   ,  0.17,  0.35, 1.91
 6,              DEHB,30,  0.31,  0.05,    -- *---          |                   ,  0.17,  0.41, 3.75
 6,              DEHB,25,  0.31,  0.07,  ----  *--          |                   ,  0.18,  0.41, 3.61
#
 7,              DEHB,20,  0.32,  0.11,  ---   *  -         |                   ,  0.17,  0.42, 3.80
#
 8,               rrp,11,  0.37,  0.11,   ----   *  ------  |                   ,  0.21,  0.57, 0.26
#
 9,         baseline,972,  0.48,  0.10,            --  *  --|---                ,  0.28,  1.00,
