#
 0,           UCB_GPM,20,  0.17,  0.00, *                   |                   ,  0.17,  0.19, 66.69
 0,            PI_GPM,20,  0.17,  0.00, *                   |                   ,  0.17,  0.19, 68.54
 0,            EI_GPM,20,  0.17,  0.00, *                   |                   ,  0.17,  0.19, 69.85
 0,           exploit,20,  0.17,  0.02, *                   |                   ,  0.17,  0.22, 0.94
 0,           UCB_GPM,25,  0.17,  0.00, *                   |                   ,  0.17,  0.19, 64.63
 0,            PI_GPM,25,  0.17,  0.00, *                   |                   ,  0.17,  0.19, 68.57
 0,    gemini/exploit,25,  0.17,  0.02, *                   |                   ,  0.17,  0.21, 1.68
#
 1,            EI_GPM,25,  0.17,  0.00, *                   |                   ,  0.17,  0.19, 68.88
 1,           UCB_GPM,30,  0.17,  0.00, *                   |                   ,  0.17,  0.19, 64.07
 1,            PI_GPM,30,  0.17,  0.00, *                   |                   ,  0.17,  0.19, 65.47
 1,            EI_GPM,30,  0.17,  0.00, *                   |                   ,  0.17,  0.19, 67.69
 1,           exploit,30,  0.17,  0.02, *-                  |                   ,  0.17,  0.22, 0.77
#
 2,    gemini/exploit,30,  0.17,  0.02, *                   |                   ,  0.17,  0.21, 1.67
 2,             DEHB,100,  0.17,  0.00, *                   |                   ,  0.17,  0.22, 5.77
#
 3,    gemini/exploit,20,  0.19,  0.02,  *                  |                   ,  0.17,  0.21, 2.17
 3,       gpt/exploit,20,  0.19,  0.02,  *                  |                   ,  0.17,  0.44, 202.42
 3,           exploit,25,  0.19,  0.02,  *                  |                   ,  0.17,  0.67, 0.84
#
 4,       gpt/exploit,25,  0.19,  0.02,  *                  |                   ,  0.17,  0.66, 202.45
#
 5,       gpt/exploit,30,  0.19,  0.02,  *                  |                   ,  0.17,  0.19, 202.29
 5,               rrp,11,  0.22,  0.22, - *         --      |                   ,  0.17,  0.55, 0.18
 5,       gpt/explore,20,  0.22,  0.22, --*          ------ |                   ,  0.17,  0.75, 202.37
 5,               TPE,25,  0.22,  0.17, --*       -----     |                   ,  0.17,  0.51, 16.58
 5,            random,30,  0.22,  0.03, - *----------       |                   ,  0.19,  0.44, 0.00
#
 6,               TPE,30,  0.22,  0.01, --*-                |                   ,  0.17,  0.47, 18.28
 6,       gpt/explore,30,  0.22,  0.28,   *             ----|---                ,  0.17,  0.74, 202.38
 6,              DEHB,20,  0.22,  0.36,  -*                -|--                 ,  0.17,  0.67, 3.64
 6,              DEHB,25,  0.22,  0.03,   *-----------------|                   ,  0.17,  0.94, 3.65
#
 7,              DEHB,30,  0.22,  0.03, - *------------     |                   ,  0.17,  0.66, 3.89
 7,            random,25,  0.22,  0.01, --*------------     |                   ,  0.17,  0.59, 0.00
#
 8,               TPE,20,  0.24,  0.18, -- *       ---      |                   ,  0.17,  0.52, 13.92
 8,            random,20,  0.25,  0.18,  -  *      ------   |                   ,  0.17,  0.55, 0.00
 8,       gpt/explore,25,  0.42,  0.25, -           * ------|--                 ,  0.17,  0.67, 202.25
#
 9,           explore,30,  0.44,  0.13,  ----------  *   ---|-----------        ,  0.17,  0.84, 0.82
#
10,    gemini/explore,25,  0.46,  0.14,   --------    *  ---|------             ,  0.22,  0.77, 1.65
10,           explore,20,  0.48,  0.27,   ----------  *     |   --------        ,  0.19,  0.94, 0.82
#
11,    gemini/explore,20,  0.49,  0.16,   ---------    *  --|-----              ,  0.17,  0.82, 1.74
11,    gemini/explore,30,  0.50,  0.28,  ---------      *   |   ----            ,  0.17,  0.88, 1.65
11,           explore,25,  0.50,  0.18,           ---   *   | ------            ,  0.19,  0.82, 0.89
#
12,        baseline,1023,  0.83,  0.47,    --------------   |           *       ,  0.17,  1.00, 0.00
