#
 0,            EI_GPM,20,  0.05,  0.00, *                   |                   ,  0.05,  0.07, 73.75
 0,            EI_GPM,25,  0.05,  0.00, *                   |                   ,  0.05,  0.07, 71.26
 0,            PI_GPM,30,  0.05,  0.00, *                   |                   ,  0.05,  0.06, 72.32
 0,           UCB_GPM,25,  0.05,  0.01, *                   |                   ,  0.05,  0.06, 66.54
 0,           UCB_GPM,20,  0.05,  0.00, *                   |                   ,  0.05,  0.06, 68.00
 0,            EI_GPM,30,  0.05,  0.01, *                   |                   ,  0.05,  0.06, 71.51
 0,       gpt/exploit,20,  0.05,  0.02, *-------            |                   ,  0.05,  0.24, 205.16
 0,            PI_GPM,25,  0.05,  0.01, *                   |                   ,  0.05,  0.09, 68.31
 0,            PI_GPM,20,  0.06,  0.01, *                   |                   ,  0.05,  0.06, 71.78
 0,             DEHB,100,  0.06,  0.00, *-                  |                   ,  0.05,  0.18, 9.68
 0,           UCB_GPM,30,  0.06,  0.00, *                   |                   ,  0.05,  0.06, 67.42
 0,    gemini/exploit,25,  0.06,  0.02, *------             |                   ,  0.05,  0.28, 4.48
 0,    gemini/exploit,30,  0.06,  0.01, *--------           |                   ,  0.05,  0.27, 5.32
#
 1,           exploit,25,  0.06,  0.11, *    ---            |                   ,  0.05,  0.28, 1.27
 1,            random,25,  0.06,  0.01, *-                  |                   ,  0.05,  0.24, 0.00
 1,            random,20,  0.07,  0.03, *                   |                   ,  0.05,  0.24, 0.00
 1,    gemini/exploit,20,  0.07,  0.13, *     ---           |                   ,  0.05,  0.31, 4.99
 1,               TPE,25,  0.07,  0.02, *------             |                   ,  0.05,  0.22, 43.07
 1,       gpt/explore,20,  0.07,  0.02,  *------            |                   ,  0.05,  0.23, 205.23
 1,               rrp,12,  0.07,  0.04,  *-----             |                   ,  0.05,  0.25, 0.82
 1,    gemini/explore,30,  0.07,  0.04,  *-------           |                   ,  0.05,  0.40, 5.06
 1,       gpt/exploit,30,  0.07,  0.12,  *    --            |                   ,  0.05,  0.26, 205.22
 1,            random,30,  0.07,  0.02,  *-                 |                   ,  0.05,  0.13, 0.00
 1,               TPE,30,  0.07,  0.02,  *                  |                   ,  0.05,  0.22, 51.67
 1,              DEHB,25,  0.07,  0.04,  *-----             |                   ,  0.05,  0.24, 7.44
 1,              DEHB,30,  0.07,  0.01,  *-----             |                   ,  0.06,  0.25, 7.38
 1,           exploit,20,  0.08,  0.12,  *                  |                   ,  0.05,  0.24, 1.45
 1,       gpt/explore,25,  0.08,  0.05, -* ------           |                   ,  0.05,  0.32, 205.21
 1,              DEHB,20,  0.08,  0.06,  * ----             |                   ,  0.05,  0.45, 7.71
 1,    gemini/explore,25,  0.09,  0.15,  *     ---          |                   ,  0.05,  0.32, 4.54
 1,       gpt/explore,30,  0.09,  0.17,  *      ----        |                   ,  0.05,  0.52, 205.32
 1,               TPE,20,  0.11,  0.15, - *     ---         |                   ,  0.05,  0.32, 40.00
#
 2,    gemini/explore,20,  0.16,  0.18, -    *   --         |                   ,  0.05,  0.39, 5.25
 2,       gpt/exploit,25,  0.17,  0.14,      *---           |                   ,  0.05,  0.29, 205.18
 2,           exploit,30,  0.18,  0.13,       *--           |                   ,  0.05,  0.28, 1.30
#
 3,           explore,30,  0.19,  0.16, --    *  -----      |                   ,  0.05,  0.63, 1.39
 3,           explore,25,  0.21,  0.17,        *----        |                   ,  0.05,  0.35, 1.28
 3,           explore,20,  0.23,  0.28, -       *     ----  |                   ,  0.05,  0.46, 1.39
#
 4,        baseline,2736,  0.29,  0.11,  -------   * -------|-------            ,  0.05,  0.91, 0.00
