#
 0,            EI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.03, 941.13
 0,            EI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.02, 582.76
 0,           UCB_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.03, 299.80
 0,            PI_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.02, 293.25
 0,           UCB_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.03, 606.71
 0,            PI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.05, 639.62
 0,           UCB_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.03, 1071.59
 0,            PI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.03, 1433.87
#
 1,            EI_GPM,30,  0.01,  0.00, *                   |                   ,  0.00,  0.02, 385.03
 1,           exploit,30,  0.01,  0.00, *-                  |                   ,  0.00,  0.04, 6.01
 1,    gemini/exploit,30,  0.01,  0.02, *-                  |                   ,  0.00,  0.08, 18.35
 1,       gpt/exploit,30,  0.01,  0.02, *-                  |                   ,  0.00,  0.08, 214.55
 1,    gemini/exploit,20,  0.01,  0.02, *-                  |                   ,  0.00,  0.04, 90.31
 1,       gpt/exploit,20,  0.01,  0.00, *                   |                   ,  0.00,  0.03, 289.43
 1,    gemini/exploit,25,  0.01,  0.00, *                   |                   ,  0.00,  0.03, 53.87
#
 2,       gpt/exploit,25,  0.01,  0.01, *                   |                   ,  0.00,  0.03, 226.88
 2,           exploit,20,  0.01,  0.01, *-                  |                   ,  0.00,  0.05, 12.24
#
 3,               TPE,30,  0.02,  0.02, *--                 |                   ,  0.00,  0.05, 571.73
 3,           exploit,25,  0.02,  0.02,  *--                |                   ,  0.00,  0.09, 10.70
 3,            random,30,  0.02,  0.03,  *-                 |                   ,  0.00,  0.06, 0.00
#
 4,       gpt/explore,25,  0.02,  0.02,  *-----             |                   ,  0.00,  0.14, 219.91
 4,            random,25,  0.03,  0.02,  *                  |                   ,  0.00,  0.05, 0.00
 4,            random,20,  0.03,  0.03,  *-                 |                   ,  0.00,  0.08, 0.00
 4,       gpt/explore,20,  0.03,  0.01, -*                  |                   ,  0.00,  0.05, 313.26
 4,               TPE,25,  0.03,  0.01, -*-                 |                   ,  0.00,  0.06, 2977.62
 4,               TPE,20,  0.03,  0.02, -*-                 |                   ,  0.00,  0.06, 4243.79
 4,    gemini/explore,25,  0.03,  0.01, -*                  |                   ,  0.00,  0.06, 62.43
 4,    gemini/explore,30,  0.03,  0.01, -*-                 |                   ,  0.00,  0.05, 20.09
 4,    gemini/explore,20,  0.03,  0.01, -*----              |                   ,  0.00,  0.14, 86.92
 4,       gpt/explore,30,  0.03,  0.01, -*----              |                   ,  0.00,  0.11, 219.29
 4,           explore,25,  0.04,  0.03, - *--               |                   ,  0.00,  0.09, 12.52
#
 5,           explore,20,  0.05,  0.05, - * ------          |                   ,  0.00,  0.18, 5.70
 5,               rrp,13,  0.05,  0.06, - *  -----          |                   ,  0.00,  0.61, 3.47
 5,           explore,30,  0.05,  0.04, --* ---             |                   ,  0.00,  0.16, 6.36
#
 6,             DEHB,100,  0.14,  0.09,  ----    *----      |                   ,  0.02,  0.22, 92.20
 6,              DEHB,25,  0.15,  0.13,    ---   *    ---   |                   ,  0.02,  0.32, 62.12
#
 7,        baseline,3840,  0.15,  0.04, -------  *          |                   ,  0.00,  0.21, 0.01
#
 8,              DEHB,20,  0.22,  0.08,       ----    *--   |                   ,  0.01,  0.29, 51.40
 8,              DEHB,30,  0.22,  0.07,      -----    *-    |                   ,  0.03,  0.30, 69.50
