#
 0,           UCB_GPM,25,  0.04,  0.00, *                   |                   ,  0.04,  0.06, 836.42
 0,            EI_GPM,30,  0.04,  0.00, *                   |                   ,  0.04,  0.05, 332.12
 0,            PI_GPM,25,  0.04,  0.00, *                   |                   ,  0.04,  0.06, 673.95
 0,           UCB_GPM,30,  0.04,  0.00, *                   |                   ,  0.04,  0.08, 535.83
 0,            PI_GPM,30,  0.04,  0.00, *---                |                   ,  0.04,  0.09, 512.10
 0,           UCB_GPM,20,  0.04,  0.00, *                   |                   ,  0.04,  0.04, 951.70
 0,            EI_GPM,20,  0.04,  0.00, *--                 |                   ,  0.04,  0.08, 1777.70
 0,            EI_GPM,25,  0.04,  0.00, *                   |                   ,  0.04,  0.09, 767.43
 0,            PI_GPM,20,  0.04,  0.01, *---                |                   ,  0.04,  0.10, 832.06
 0,           exploit,25,  0.04,  0.05, *   --              |                   ,  0.04,  0.17, 7.25
 0,    gemini/exploit,25,  0.04,  0.01, *---                |                   ,  0.04,  0.10, 34.81
 0,           exploit,20,  0.04,  0.02, * ---               |                   ,  0.04,  0.11, 18.22
 0,               TPE,30,  0.04,  0.01, *                   |                   ,  0.04,  0.07, 576.94
 0,               TPE,25,  0.04,  0.01, *-                  |                   ,  0.04,  0.07, 952.81
 0,               TPE,20,  0.04,  0.01, *--                 |                   ,  0.04,  0.11, 6079.96
 0,    gemini/exploit,20,  0.05,  0.06, *    --             |                   ,  0.04,  0.13, 132.68
#
 1,       gpt/exploit,25,  0.05,  0.04, *   -               |                   ,  0.04,  0.12, 241.70
 1,       gpt/exploit,20,  0.05,  0.06,  *  -               |                   ,  0.04,  0.13, 371.08
 1,           exploit,30,  0.05,  0.05,  *  ---             |                   ,  0.04,  0.13, 5.02
 1,       gpt/exploit,30,  0.05,  0.04,  * -                |                   ,  0.04,  0.09, 221.81
 1,           explore,20,  0.05,  0.04,  *  ---             |                   ,  0.04,  0.13, 21.04
 1,    gemini/explore,30,  0.05,  0.05,  *  -------         |                   ,  0.04,  0.17, 22.77
 1,            random,30,  0.06,  0.02, - *---              |                   ,  0.04,  0.11, 0.00
 1,            random,20,  0.06,  0.05,   * ---             |                   ,  0.04,  0.14, 0.00
 1,    gemini/explore,20,  0.06,  0.04,   *--               |                   ,  0.04,  0.10, 113.14
 1,    gemini/exploit,30,  0.06,  0.05,   * -               |                   ,  0.04,  0.11, 20.63
 1,       gpt/explore,25,  0.06,  0.06,   *  -              |                   ,  0.04,  0.13, 234.51
 1,           explore,25,  0.06,  0.05,   *  -              |                   ,  0.04,  0.12, 7.77
 1,       gpt/explore,20,  0.06,  0.05, - *  ---            |                   ,  0.04,  0.22, 356.36
 1,    gemini/explore,25,  0.07,  0.06,   *  --             |                   ,  0.04,  0.13, 34.96
 1,       gpt/explore,30,  0.07,  0.05,   * ---             |                   ,  0.04,  0.13, 213.78
#
 2,            random,25,  0.07,  0.03, --* --              |                   ,  0.04,  0.12, 0.01
 2,             DEHB,100,  0.09,  0.02, --  *               |                   ,  0.04,  0.10, 48.93
#
 3,              DEHB,30,  0.09,  0.04, -   *               |                   ,  0.04,  0.10, 24.96
 3,              DEHB,25,  0.10,  0.01,      *              |                   ,  0.04,  0.12, 24.64
 3,           explore,30,  0.10,  0.05, --   *----          |                   ,  0.04,  0.17, 4.85
 3,              DEHB,20,  0.10,  0.02, ---- *-             |                   ,  0.04,  0.12, 24.99
 3,               rrp,13,  0.10,  0.07, -    * ----         |                   ,  0.04,  0.50, 4.34
#
 4,        baseline,5184,  0.13,  0.04,      -- * ---       |                   ,  0.08,  0.27, 0.38
