#
 0,            EI_GPM,20,  0.01,  0.02, *                   |                   ,  0.00,  0.03, 1982.36
 0,           UCB_GPM,25,  0.01,  0.01, *                   |                   ,  0.00,  0.03, 619.13
 0,            PI_GPM,25,  0.01,  0.01, *                   |                   ,  0.00,  0.03, 529.81
#
 1,            EI_GPM,25,  0.01,  0.02, *                   |                   ,  0.00,  0.03, 681.71
#
 2,           UCB_GPM,20,  0.02,  0.02, *                   |                   ,  0.00,  0.03, 1114.28
 2,           UCB_GPM,30,  0.02,  0.02, *                   |                   ,  0.00,  0.04, 267.13
 2,            EI_GPM,30,  0.02,  0.02, *                   |                   ,  0.00,  0.03, 183.98
 2,            PI_GPM,20,  0.02,  0.02,  *                  |                   ,  0.00,  0.03, 1199.32
#
 3,            PI_GPM,30,  0.02,  0.01,  *                  |                   ,  0.00,  0.03, 162.56
#
 4,            random,25,  0.09,  0.19,  -- *       ---     |                   ,  0.03,  0.34, 0.00
 4,            random,30,  0.09,  0.16,  -- *      -        |                   ,  0.02,  0.35, 0.00
#
 5,             DEHB,100,  0.22,  0.01,         - *         |                   ,  0.02,  0.23, 56.46
 5,           exploit,30,  0.22,  0.03,  -------- *--       |                   ,  0.02,  0.35, 2.17
#
 6,           exploit,25,  0.23,  0.06,  -------  *-        |                   ,  0.00,  0.38, 7.84
 6,               TPE,30,  0.23,  0.19,           * --      |                   ,  0.02,  0.34, 189.10
 6,              DEHB,25,  0.23,  0.01,           *         |                   ,  0.18,  0.27, 31.66
 6,       gpt/exploit,20,  0.23,  0.02,         --*----     |                   ,  0.02,  0.36, 366.27
 6,           exploit,20,  0.24,  0.05,  -------- *----     |                   ,  0.00,  0.38, 7.93
 6,    gemini/exploit,25,  0.24,  0.03,     ------*----     |                   ,  0.02,  0.36, 57.89
 6,              DEHB,30,  0.24,  0.00,           *         |                   ,  0.18,  0.26, 31.73
 6,              DEHB,20,  0.24,  0.01,           *-        |                   ,  0.22,  0.29, 29.20
 6,    gemini/exploit,20,  0.24,  0.04,  --------  *---     |                   ,  0.01,  0.39, 108.33
 6,               TPE,20,  0.24,  0.21,   --       * ---    |                   ,  0.04,  0.38, 8064.95
 6,       gpt/exploit,25,  0.24,  0.02,         -- *----    |                   ,  0.03,  0.35, 280.41
 6,    gemini/exploit,30,  0.24,  0.03,          - *-----   |                   ,  0.02,  0.41, 14.89
 6,       gpt/exploit,30,  0.25,  0.10,          - *   -    |                   ,  0.18,  0.41, 217.31
 6,               rrp,14,  0.26,  0.29,  --        *     ---|                   ,  0.02,  0.59, 7.67
 6,               TPE,25,  0.26,  0.18,   --        *-      |                   ,  0.01,  0.32, 632.00
 6,    gemini/explore,20,  0.27,  0.14,    -------  *    -- |                   ,  0.01,  0.42, 122.78
#
 7,       gpt/explore,20,  0.27,  0.09,     ------  *  ---  |                   ,  0.05,  0.42, 344.33
 7,            random,20,  0.28,  0.09,     -------  *  --  |                   ,  0.02,  0.48, 0.00
 7,       gpt/explore,25,  0.28,  0.08,           -  * ---  |                   ,  0.03,  0.48, 229.92
#
 8,           explore,30,  0.31,  0.11,         ----  *  ---|                   ,  0.05,  0.48, 2.40
 8,    gemini/explore,30,  0.32,  0.10,  ----------    *--- |                   ,  0.02,  0.50, 13.09
 8,           explore,25,  0.33,  0.12,     --------   * ---|                   ,  0.03,  0.44, 8.18
 8,       gpt/explore,30,  0.33,  0.12,           --   * -  |                   ,  0.07,  0.40, 217.83
#
 9,    gemini/explore,25,  0.35,  0.09,           ----- *   |                   ,  0.02,  0.56, 82.23
 9,           explore,20,  0.35,  0.11,    ---------    *-  |                   ,  0.03,  0.55, 12.44
#
10,        baseline,6840,  0.55,  0.37,   ----------        |    *    --        ,  0.00,  0.86, 0.02
