#
 0,            EI_GPM,20,  0.03,  0.02,  *                  |                   ,  0.01,  0.09, 69.06
 0,            PI_GPM,20,  0.03,  0.03,  *                  |                   ,  0.00,  0.11, 67.83
 0,           UCB_GPM,30,  0.03,  0.00, -*-                 |                   ,  0.01,  0.08, 66.10
 0,            PI_GPM,25,  0.04,  0.03,  *                  |                   ,  0.01,  0.06, 69.14
 0,           UCB_GPM,25,  0.04,  0.04,  *-                 |                   ,  0.00,  0.11, 65.53
 0,            EI_GPM,30,  0.04,  0.00, -*                  |                   ,  0.01,  0.07, 70.91
 0,           UCB_GPM,20,  0.04,  0.01, -*-                 |                   ,  0.01,  0.08, 68.60
 0,            EI_GPM,25,  0.04,  0.01, -*                  |                   ,  0.00,  0.07, 69.98
 0,            PI_GPM,30,  0.05,  0.03,  *                  |                   ,  0.00,  0.08, 68.20
 0,       gpt/exploit,30,  0.05,  0.06,   *--               |                   ,  0.00,  0.29, 230.41
#

 1,       gpt/exploit,20,  0.07,  0.05,   *--               |                   ,  0.01,  0.27, 230.09
 1,    gemini/exploit,30,  0.07,  0.02, --*----             |                   ,  0.01,  0.33, 30.45
#
 2,    gemini/exploit,25,  0.08,  0.05,  - *-               |                   ,  0.01,  0.15, 29.24
 2,    gemini/exploit,20,  0.08,  0.06, -  *-               |                   ,  0.01,  0.20, 29.83
 2,           exploit,30,  0.08,  0.04,  - *-               |                   ,  0.04,  0.19, 3.59
 2,       gpt/exploit,25,  0.08,  0.04,  - *--              |                   ,  0.03,  0.22, 230.48
#
 3,           exploit,25,  0.08,  0.03,  - *---             |                   ,  0.01,  0.35, 3.52
 3,             DEHB,100,  0.09,  0.05,    *--              |                   ,  0.04,  0.20, 33.58
#
 4,           exploit,20,  0.09,  0.03,  --*-               |                   ,  0.00,  0.19, 3.68
 4,           explore,20,  0.11,  0.05,  -- *--             |                   ,  0.04,  0.28, 3.63
 4,    gemini/explore,25,  0.11,  0.04,   - *---            |                   ,  0.05,  0.22, 29.22
#
 5,       gpt/explore,30,  0.12,  0.08,   --*  ----         |                   ,  0.05,  0.31, 231.15
 5,    gemini/explore,20,  0.13,  0.09,   -- * --           |                   ,  0.05,  0.24, 30.14
 5,            random,30,  0.13,  0.07,   -  *--            |                   ,  0.05,  0.24, 0.00
 5,               TPE,20,  0.13,  0.12,    - *  ---         |                   ,  0.01,  0.31, 149.55
 5,               TPE,30,  0.14,  0.06,    - * -            |                   ,  0.05,  0.25, 229.65
 5,       gpt/explore,20,  0.14,  0.08,    - * --           |                   ,  0.05,  0.28, 230.56
#
 6,               TPE,25,  0.14,  0.07,      * ---          |                   ,  0.05,  0.27, 180.75
 6,               rrp,14,  0.14,  0.11,    - *  -           |                   ,  0.05,  0.26, 7.08
 6,       gpt/explore,25,  0.15,  0.11,  --  * ----         |                   ,  0.01,  0.29, 230.65
 6,    gemini/explore,30,  0.16,  0.06,     - *---          |                   ,  0.05,  0.28, 30.73
 6,            random,20,  0.16,  0.08,       *----         |                   ,  0.08,  0.31, 0.00
#
 7,           explore,25,  0.16,  0.07,    -- *--           |                   ,  0.06,  0.30, 3.51
 7,            random,25,  0.16,  0.06,   --- * ---         |                   ,  0.05,  0.30, 0.00
 7,              DEHB,30,  0.17,  0.08,     - * ----        |                   ,  0.08,  0.34, 29.74
 7,              DEHB,25,  0.18,  0.05,     -- *---         |                   ,  0.05,  0.32, 30.63
 7,           explore,30,  0.19,  0.10,    -   *---         |                   ,  0.06,  0.29, 3.73
#
 8,              DEHB,20,  0.21,  0.09,         *----       |                   ,  0.12,  0.34, 29.36
#
 9,       baseline,10000,  0.44,  0.16,          -----   *  |-----              ,  0.03,  1.00, 0.00
