#
 0,           UCB_GPM,20,  0.06,  0.05, -*                  |                   ,  0.01,  0.11, 64.28
 0,            EI_GPM,25,  0.06,  0.04, -*--                |                   ,  0.01,  0.14, 70.31
 0,           UCB_GPM,30,  0.06,  0.04, -*-                 |                   ,  0.01,  0.11, 67.03
 0,            EI_GPM,30,  0.06,  0.02, -*-                 |                   ,  0.01,  0.10, 71.84
 0,            PI_GPM,20,  0.07,  0.05, - *-                |                   ,  0.01,  0.14, 66.65
 0,           UCB_GPM,25,  0.07,  0.04, - *-                |                   ,  0.01,  0.16, 65.25
 0,            EI_GPM,20,  0.07,  0.02, - *-                |                   ,  0.01,  0.12, 71.03
#
 1,            PI_GPM,25,  0.08,  0.04, - *--               |                   ,  0.01,  0.17, 67.48
 1,            PI_GPM,30,  0.08,  0.03, - *-                |                   ,  0.01,  0.12, 69.73
#
 2,    gemini/exploit,30,  0.10,  0.05,  - *--              |                   ,  0.04,  0.25, 29.91
 2,           exploit,30,  0.11,  0.07,  - * --             |                   ,  0.04,  0.20, 3.53
 2,    gemini/exploit,20,  0.12,  0.07,     *--             |                   ,  0.03,  0.20, 29.27
 2,       gpt/exploit,30,  0.12,  0.09,     * --            |                   ,  0.04,  0.27, 232.27
#
 3,       gpt/exploit,20,  0.12,  0.06,     *---            |                   ,  0.03,  0.24, 230.41
 3,           exploit,25,  0.12,  0.05,   - *-              |                   ,  0.06,  0.38, 3.52
 3,    gemini/exploit,25,  0.12,  0.04,   --*--             |                   ,  0.04,  0.23, 29.64
 3,             DEHB,100,  0.12,  0.07,  -  *-              |                   ,  0.04,  0.18, 34.66
 3,           exploit,20,  0.13,  0.07,   - * -             |                   ,  0.06,  0.37, 3.46
 3,       gpt/exploit,25,  0.13,  0.07,     *----           |                   ,  0.04,  0.25, 230.23
 3,    gemini/explore,25,  0.15,  0.06,    - * --           |                   ,  0.08,  0.36, 29.12
#
 4,           explore,25,  0.15,  0.08,   -- * --           |                   ,  0.06,  0.27, 3.50
 4,               TPE,30,  0.17,  0.09,     - * -           |                   ,  0.12,  0.31, 220.10
 4,               rrp,14,  0.17,  0.10,   --  * ----        |                   ,  0.04,  0.36, 7.06
 4,       gpt/explore,20,  0.17,  0.11,    -  *  -          |                   ,  0.06,  0.31, 229.91
 4,       gpt/explore,30,  0.17,  0.12,    -  *  --         |                   ,  0.07,  0.34, 230.00
 4,       gpt/explore,25,  0.19,  0.02,    ---*---          |                   ,  0.06,  0.33, 230.33
#
 5,               TPE,20,  0.19,  0.06,     - *--           |                   ,  0.10,  0.25, 148.43
 5,    gemini/explore,20,  0.19,  0.07,     -- * --         |                   ,  0.11,  0.29, 29.62
 5,               TPE,25,  0.19,  0.03,     -- *-           |                   ,  0.06,  0.28, 173.82
 5,           explore,30,  0.20,  0.03,     -- *-           |                   ,  0.12,  0.28, 3.51
 5,            random,20,  0.20,  0.10,     -  * --         |                   ,  0.10,  0.33, 0.00
 5,    gemini/explore,30,  0.20,  0.05,      - *-           |                   ,  0.12,  0.26, 29.39
 5,            random,30,  0.20,  0.09,     -  * --         |                   ,  0.07,  0.30, 0.00
 5,           explore,20,  0.20,  0.07,     -- * --         |                   ,  0.12,  0.36, 3.48
#
 6,              DEHB,20,  0.22,  0.08,     -   *-          |                   ,  0.11,  0.41, 29.79
 6,            random,25,  0.22,  0.06,      -- *-          |                   ,  0.07,  0.32, 0.00
 6,              DEHB,30,  0.22,  0.06,     --- *--         |                   ,  0.08,  0.32, 29.80
 6,              DEHB,25,  0.23,  0.06,     --- *---        |                   ,  0.07,  0.37, 29.59
#
 7,       baseline,10000,  0.45,  0.15,          -----   *  |----               ,  0.07,  1.00, 0.00
