#
 0,            PI_GPM,20,  0.05,  0.05,  *-                 |                   ,  0.03,  0.11, 67.35
 0,            EI_GPM,20,  0.06,  0.04,  *-                 |                   ,  0.03,  0.11, 70.87
 0,           UCB_GPM,25,  0.06,  0.02, -*-                 |                   ,  0.03,  0.10, 65.72
 0,           UCB_GPM,20,  0.07,  0.03, - *-                |                   ,  0.03,  0.12, 68.67
 0,            PI_GPM,30,  0.07,  0.02, - *                 |                   ,  0.03,  0.10, 69.75
 0,            EI_GPM,30,  0.07,  0.03, - *                 |                   ,  0.03,  0.11, 69.38
 0,            EI_GPM,25,  0.07,  0.03, - *                 |                   ,  0.03,  0.12, 74.47
#
 1,            PI_GPM,25,  0.08,  0.02,  -*--               |                   ,  0.03,  0.15, 69.27
 1,           UCB_GPM,30,  0.08,  0.04, - *                 |                   ,  0.03,  0.10, 65.26
#
 2,    gemini/exploit,20,  0.08,  0.03,  -*--               |                   ,  0.03,  0.13, 29.35
 2,           exploit,20,  0.09,  0.06, -  *------          |                   ,  0.03,  0.29, 3.45
 2,       gpt/exploit,30,  0.09,  0.04, -  *-               |                   ,  0.03,  0.18, 230.18
 2,    gemini/exploit,30,  0.09,  0.05,    * ---            |                   ,  0.03,  0.20, 29.78
 2,       gpt/exploit,20,  0.09,  0.02, -- *--              |                   ,  0.03,  0.21, 232.08
 2,       gpt/exploit,25,  0.10,  0.04,    *-               |                   ,  0.03,  0.24, 232.97
#
 3,           exploit,30,  0.10,  0.07,  - *  ---           |                   ,  0.03,  0.25, 3.45
 3,    gemini/exploit,25,  0.11,  0.04,  -- *--             |                   ,  0.03,  0.30, 29.28
 3,             DEHB,100,  0.11,  0.04,  -- *-              |                   ,  0.03,  0.17, 36.44
 3,           explore,30,  0.11,  0.13,  -- *    --         |                   ,  0.03,  0.29, 3.44
 3,           exploit,25,  0.12,  0.05,  --  *              |                   ,  0.05,  0.19, 3.45
 3,    gemini/explore,25,  0.12,  0.07,  --  * ----         |                   ,  0.03,  0.25, 29.45
 3,            random,30,  0.13,  0.10,   -  *  ---         |                   ,  0.05,  0.25, 0.00
 3,       gpt/explore,30,  0.13,  0.04,    - * ----         |                   ,  0.09,  0.28, 231.16
#
 4,    gemini/explore,30,  0.13,  0.06,   -  *---           |                   ,  0.05,  0.22, 29.44
 4,               TPE,30,  0.13,  0.05,   -- * ---          |                   ,  0.05,  0.25, 209.45
 4,               TPE,25,  0.14,  0.05,  ----* ----         |                   ,  0.03,  0.25, 181.55
 4,               rrp,14,  0.14,  0.06,   ---* ---          |                   ,  0.05,  0.38, 7.11
 4,              DEHB,30,  0.15,  0.04,    -- *---          |                   ,  0.07,  0.25, 30.64
 4,       gpt/explore,20,  0.15,  0.08,   --  * ---         |                   ,  0.03,  0.26, 230.44
#
 5,           explore,20,  0.16,  0.08,    -- *  -          |                   ,  0.08,  0.25, 3.49
 5,            random,25,  0.16,  0.06,     - * ---         |                   ,  0.05,  0.25, 0.00
 5,              DEHB,25,  0.17,  0.07,        * --         |                   ,  0.03,  0.25, 30.92
 5,       gpt/explore,25,  0.17,  0.06,     -  *---         |                   ,  0.07,  0.27, 230.49
 5,               TPE,20,  0.18,  0.10,    --  *  -         |                   ,  0.07,  0.25, 146.55
 5,    gemini/explore,20,  0.18,  0.07,   ---  * --         |                   ,  0.07,  0.31, 29.46
 5,            random,20,  0.18,  0.07,    --  * ---        |                   ,  0.09,  0.44, 0.00
#
 6,           explore,25,  0.20,  0.14,         * --        |                   ,  0.07,  0.30, 3.44
 6,              DEHB,20,  0.22,  0.05,      --- *          |                   ,  0.11,  0.28, 30.22
#
 7,       baseline,10000,  0.39,  0.16,           ----    * |  ----             ,  0.05,  0.81, 0.00
