#
 0,    gemini/exploit,20,  0.03,  0.05,  *--                |                   ,  0.00,  0.11, 19.64
 0,       gpt/exploit,30,  0.03,  0.03,  *-                 |                   ,  0.00,  0.16, 229.09
 0,           exploit,30,  0.03,  0.05, -* --               |                   ,  0.00,  0.22, 1.42
 0,    gemini/exploit,30,  0.03,  0.03,  *--                |                   ,  0.00,  0.11, 5.11
 0,       gpt/exploit,25,  0.03,  0.03, -*---               |                   ,  0.00,  0.12, 221.94
 0,           UCB_GPM,25,  0.04,  0.01, -*                  |                   ,  0.00,  0.08, 1026.30
 0,           UCB_GPM,20,  0.04,  0.02,  *-                 |                   ,  0.01,  0.08, 599.16
 0,           exploit,20,  0.04,  0.04, -*---               |                   ,  0.00,  0.16, 7.71
 0,       gpt/exploit,20,  0.04,  0.07, -*  -------         |                   ,  0.00,  0.27, 247.49
 0,           exploit,25,  0.04,  0.03,  *-                 |                   ,  0.01,  0.11, 7.11
 0,    gemini/exploit,25,  0.04,  0.03, -*--                |                   ,  0.00,  0.17, 49.53
#
 1,            PI_GPM,20,  0.04,  0.02,  *-                 |                   ,  0.00,  0.10, 653.14
 1,           UCB_GPM,30,  0.04,  0.04,  *                  |                   ,  0.00,  0.09, 935.59
 1,            PI_GPM,30,  0.05,  0.03, - *-                |                   ,  0.00,  0.11, 598.49
 1,            PI_GPM,25,  0.05,  0.04,   *-                |                   ,  0.03,  0.12, 1143.43
 1,            EI_GPM,20,  0.05,  0.01,   *                 |                   ,  0.00,  0.08, 705.32
 1,               TPE,30,  0.05,  0.03,   *-                |                   ,  0.01,  0.12, 605.54
#
 2,            random,25,  0.06,  0.04,   *-                |                   ,  0.01,  0.15, 0.00
 2,            EI_GPM,30,  0.06,  0.02,   *                 |                   ,  0.03,  0.09, 638.91
 2,            EI_GPM,25,  0.06,  0.04, - *-                |                   ,  0.01,  0.10, 980.89
#
 3,           explore,20,  0.07,  0.05,  - *-----           |                   ,  0.01,  0.21, 10.34
 3,           explore,25,  0.07,  0.05,  - *---             |                   ,  0.03,  0.31, 10.06
 3,            random,20,  0.08,  0.03,  - *-               |                   ,  0.01,  0.14, 0.00
 3,            random,30,  0.08,  0.02,  - *-               |                   ,  0.00,  0.13, 0.00
#
 4,               TPE,20,  0.09,  0.03,  --*-               |                   ,  0.00,  0.16, 1196.13
 4,               TPE,25,  0.09,  0.03,  --*-               |                   ,  0.03,  0.13, 1996.53
 4,       gpt/explore,20,  0.09,  0.09,  - *  --            |                   ,  0.01,  0.23, 222.29
 4,           explore,30,  0.09,  0.05,  - *--              |                   ,  0.01,  0.18, 2.27
 4,    gemini/explore,30,  0.09,  0.08, -  * ------         |                   ,  0.00,  0.27, 6.23
 4,       gpt/explore,25,  0.09,  0.04,  - *----            |                   ,  0.00,  0.29, 260.54
 4,               rrp,11,  0.09,  0.04,  -  *---            |                   ,  0.01,  0.88, 1.03
 4,       gpt/explore,30,  0.09,  0.10, -   *---            |                   ,  0.00,  0.29, 215.34
#
 5,    gemini/explore,20,  0.10,  0.08, -   *----           |                   ,  0.00,  0.35, 25.62
 5,    gemini/explore,25,  0.10,  0.06, --  *---            |                   ,  0.00,  0.20, 24.61
#
 6,             DEHB,100,  0.14,  0.03,    -- *             |                   ,  0.08,  0.20, 56.81
#
 7,              DEHB,25,  0.21,  0.74,     -    *          |                   ,  0.03,  0.87, 33.65
#
 8,        baseline,1343,  0.29,  0.15,       ---   *   ----|                   ,  0.03,  0.67, 0.02
#
 9,              DEHB,20,  0.86,  0.59,     --------        |                  *,  0.05,  0.88, 27.96
 9,              DEHB,30,  0.86,  0.61,       -----         |                  *,  0.09,  0.87, 27.55
