#
 0,           UCB_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 683.48
 0,            PI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 632.86
 0,            EI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 692.35
 0,           exploit,20,  0.00,  0.00, *--------           |                   ,  0.00,  0.25, 7.68
 0,    gemini/exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 6.89
 0,       gpt/exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.25, 209.22
 0,           UCB_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 1074.33
 0,            PI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 955.73
 0,            EI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 1128.40
 0,           exploit,25,  0.00,  0.00, *--------           |                   ,  0.00,  0.25, 9.33
 0,    gemini/exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 11.69
 0,       gpt/exploit,25,  0.00,  0.00, *--------           |                   ,  0.00,  0.25, 206.50
 0,           UCB_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 1025.01
 0,            PI_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 1429.76
 0,            EI_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 1013.98
 0,           exploit,30,  0.00,  0.00, *--------           |                   ,  0.00,  0.27, 6.15
 0,    gemini/exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 5.27
 0,       gpt/exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 210.55
#
 1,                rrp,9,  0.09,  0.25,    *                |                   ,  0.00,  0.27, 0.09
 1,       gpt/explore,20,  0.16,  0.29,       *    -------- |                   ,  0.00,  0.50, 207.62
 1,    gemini/explore,20,  0.17,  0.28,       *    ------   |                   ,  0.00,  0.50, 5.72
 1,               TPE,30,  0.17,  0.15, ---   *  --         |                   ,  0.00,  0.31, 244.40
 1,             DEHB,100,  0.17,  0.07, ---   *---          |                   ,  0.00,  0.27, 84.88
#
 2,               TPE,20,  0.21,  0.17, ---     *           |                   ,  0.00,  0.33, 255.05
 2,            random,25,  0.25,  0.09,    ---   *---       |                   ,  0.00,  0.42, 0.00
 2,    gemini/explore,25,  0.25,  0.19, ---      * ---      |                   ,  0.00,  0.43, 8.65
 2,            random,30,  0.25,  0.17, ---      *---       |                   ,  0.00,  0.37, 0.00
 2,       gpt/explore,30,  0.25,  0.25,          *---       |                   ,  0.00,  0.50, 205.77
 2,               TPE,25,  0.25,  0.10, ------   *---       |                   ,  0.00,  0.35, 379.87
 2,    gemini/explore,30,  0.25,  0.18, ---      *-------   |                   ,  0.00,  0.58, 5.25
 2,            random,20,  0.25,  0.14, ------    * -       |                   ,  0.00,  0.35, 0.00
 2,           explore,20,  0.25,  0.20, ---       *------   |                   ,  0.00,  0.45, 1.22
 2,       gpt/explore,25,  0.25,  0.22, ---       * -----   |                   ,  0.00,  0.47, 205.60
 2,           explore,25,  0.28,  0.06,    ------  *--      |                   ,  0.00,  0.36, 11.01
 2,           explore,30,  0.29,  0.08,    ------- * ----   |                   ,  0.00,  0.50, 3.28
 2,              DEHB,30,  0.29,  0.16,         -- *    --- |                   ,  0.00,  0.55, 3.71
#
 3,              DEHB,25,  0.33,  0.14,    --------  *  --- |                   ,  0.09,  0.52, 4.46
 3,              DEHB,20,  0.36,  0.08,          ---  *---- |                   ,  0.21,  0.50, 24.70
#
 4,         baseline,206,  0.60,  0.24,              ------ |   *    ------     ,  0.00,  1.00, 0.00
