#
 0,       gpt/exploit,25,  0.07,  0.02,   *-                |                   ,  0.00,  0.17, 221.38
 0,    gemini/exploit,20,  0.08,  0.02,    *---             |                   ,  0.00,  0.32, 24.12
 0,    gemini/exploit,25,  0.08,  0.02,    *--              |                   ,  0.00,  0.17, 29.58
 0,    gemini/exploit,30,  0.08,  0.02,    *                |                   ,  0.06,  0.18, 17.85
 0,       gpt/exploit,20,  0.08,  0.01,    *                |                   ,  0.00,  0.13, 239.26
#
 1,       gpt/exploit,30,  0.08,  0.02,    *---             |                   ,  0.06,  0.32, 214.49
 1,            EI_GPM,25,  0.08,  0.02,   -*                |                   ,  0.00,  0.12, 960.28
 1,               TPE,30,  0.08,  0.03,   -*-               |                   ,  0.06,  0.14, 820.14
 1,            PI_GPM,25,  0.09,  0.01,   -*                |                   ,  0.07,  0.13, 969.14
 1,           exploit,25,  0.09,  0.02, -- *---             |                   ,  0.00,  0.18, 4.51
 1,           exploit,30,  0.09,  0.03,    *-----           |                   ,  0.00,  0.31, 4.79
 1,            PI_GPM,30,  0.09,  0.02, ---*                |                   ,  0.00,  0.11, 607.57
 1,           UCB_GPM,25,  0.09,  0.03,   -*-               |                   ,  0.00,  0.15, 1112.27
 1,           UCB_GPM,30,  0.09,  0.04,    *                |                   ,  0.00,  0.13, 801.53
 1,           UCB_GPM,20,  0.09,  0.02,   -*                |                   ,  0.00,  0.16, 654.07
 1,            EI_GPM,30,  0.09,  0.03,   -*                |                   ,  0.06,  0.12, 527.42
#
 2,            PI_GPM,20,  0.09,  0.03,   -*                |                   ,  0.06,  0.12, 693.88
 2,            EI_GPM,20,  0.09,  0.02,   -*-               |                   ,  0.07,  0.13, 741.82
 2,       gpt/explore,30,  0.09,  0.03,    *--              |                   ,  0.07,  0.34, 231.31
#
 3,               TPE,25,  0.10,  0.03,    *-               |                   ,  0.07,  0.14, 2347.50
 3,            random,30,  0.10,  0.02,     *               |                   ,  0.07,  0.15, 0.00
 3,    gemini/explore,30,  0.10,  0.02,   - *               |                   ,  0.00,  0.31, 15.99
 3,            random,25,  0.11,  0.04,     *               |                   ,  0.06,  0.18, 0.00
 3,            random,20,  0.11,  0.03,   - *-              |                   ,  0.00,  0.17, 0.00
#
 4,    gemini/explore,20,  0.11,  0.03,    -*-              |                   ,  0.08,  0.22, 14.95
 4,           explore,30,  0.12,  0.06,   - * -------       |                   ,  0.00,  0.34, 7.04
 4,               TPE,20,  0.12,  0.03,    -*               |                   ,  0.07,  0.14, 1354.23
 4,    gemini/explore,25,  0.12,  0.04,     *---            |                   ,  0.07,  0.22, 13.78
 4,       gpt/explore,20,  0.12,  0.06,    -* --------      |                   ,  0.06,  0.38, 223.90
 4,       gpt/explore,25,  0.12,  0.04,   - *--             |                   ,  0.00,  0.22, 237.89
 4,           explore,25,  0.12,  0.02,    -*-----          |                   ,  0.09,  0.45, 5.48
 4,           explore,20,  0.14,  0.13,    - *   -----      |                   ,  0.07,  0.38, 5.17
 4,               rrp,12,  0.15,  0.07,    -  *-------      |                   ,  0.00,  0.41, 1.20
#
 5,        baseline,1512,  0.18,  0.09,     -- * ------     |                   ,  0.00,  0.53, 0.00
#
 6,             DEHB,100,  0.77,  0.36,                --   |          *------- ,  0.32,  0.98, 43.61
 6,              DEHB,30,  0.77,  0.01,                     |          *------- ,  0.76,  0.98, 19.57
 6,              DEHB,25,  0.78,  0.20,                     |          *        ,  0.41,  0.98, 45.53
 6,              DEHB,20,  0.79,  0.21,                 ----|---------- *       ,  0.34,  0.98, 39.66
