#
 0,             DEHB,100,  0.39,  0.06, *   -----           |                   ,  0.39,  0.56, 53.30
#
 1,           UCB_GPM,20,  0.45,  0.06,     *               |                   ,  0.39,  0.47, 619.11
 1,            PI_GPM,20,  0.45,  0.00, ----*               |                   ,  0.39,  0.49, 682.59
 1,            EI_GPM,20,  0.45,  0.06,     *               |                   ,  0.39,  0.45, 731.66
#
 2,           UCB_GPM,25,  0.45,  0.06,     *               |                   ,  0.39,  0.45, 1181.97
 2,            PI_GPM,25,  0.45,  0.00, ----*               |                   ,  0.39,  0.47, 979.63
#
 3,            EI_GPM,25,  0.45,  0.00, ----*               |                   ,  0.39,  0.45, 1002.45
 3,           UCB_GPM,30,  0.45,  0.06,     *               |                   ,  0.39,  0.47, 975.26
#
 4,            PI_GPM,30,  0.45,  0.00, ----*               |                   ,  0.39,  0.54, 1413.33
 4,            EI_GPM,30,  0.45,  0.06,     *               |                   ,  0.39,  0.45, 1009.60
#
 5,               TPE,30,  0.47,  0.07, -----*    -         |                   ,  0.39,  0.57, 146.98
 5,           explore,20,  0.49,  0.12,       *     --      |                   ,  0.39,  0.60, 1.51
 5,    gemini/exploit,20,  0.49,  0.05,     --*   ----      |                   ,  0.39,  0.64, 9.23
#
 6,           exploit,25,  0.49,  0.03,      -* ------      |                   ,  0.39,  0.64, 5.66
 6,    gemini/exploit,25,  0.49,  0.03,      -* ---         |                   ,  0.45,  0.60, 12.70
 6,       gpt/exploit,25,  0.49,  0.02,     - *---          |                   ,  0.39,  0.56, 207.36
#
 7,           exploit,30,  0.49,  0.03,       * ------      |                   ,  0.39,  0.64, 3.66
 7,       gpt/exploit,30,  0.49,  0.00,     --*-            |                   ,  0.39,  0.56, 210.12
#
 8,       gpt/exploit,20,  0.51,  0.07,         *  -----    |                   ,  0.39,  0.69, 208.68
#
 9,    gemini/exploit,30,  0.51,  0.05, ------  * -         |                   ,  0.39,  0.56, 8.96
 9,              DEHB,20,  0.51,  0.17,         *  -----    |                   ,  0.39,  0.66, 15.69
 9,              DEHB,25,  0.51,  0.11, ----    *  ----     |                   ,  0.39,  0.63, 8.86
 9,           exploit,20,  0.52,  0.07,      -  *  ------   |                   ,  0.39,  0.69, 10.40
 9,    gemini/explore,20,  0.52,  0.10, ----    * -----     |                   ,  0.39,  0.63, 5.61
 9,               TPE,25,  0.52,  0.13, ----    *   ----    |                   ,  0.39,  0.64, 368.39
 9,    gemini/explore,30,  0.52,  0.07,     --  *  -----    |                   ,  0.39,  0.64, 6.06
 9,           explore,30,  0.53,  0.12,          * -        |                   ,  0.39,  0.61, 6.82
#
10,       gpt/explore,20,  0.53,  0.06,     ---- *  --      |                   ,  0.39,  0.63, 208.92
10,            random,25,  0.53,  0.11, -----    *  ----    |                   ,  0.39,  0.66, 0.00
10,    gemini/explore,25,  0.53,  0.06,     ---- *  ----    |                   ,  0.39,  0.63, 10.28
10,       gpt/explore,25,  0.53,  0.10,     -    *  ----    |                   ,  0.45,  0.64, 207.35
10,       gpt/explore,30,  0.53,  0.07, -------- *  ----    |                   ,  0.39,  0.66, 210.05
10,           explore,25,  0.54,  0.09,     --   *  ----    |                   ,  0.39,  0.65, 10.32
10,              DEHB,30,  0.54,  0.11, ----     * ---      |                   ,  0.39,  0.63, 5.85
10,            random,30,  0.54,  0.11, -----     * ----    |                   ,  0.39,  0.64, 0.00
10,               TPE,20,  0.55,  0.03, ----------*----     |                   ,  0.39,  0.63, 225.02
10,            random,20,  0.56,  0.09,         -- *    -   |                   ,  0.39,  0.66, 0.00
#
11,                rrp,9,  0.63,  0.17,         ----   *    |  ---------------- ,  0.45,  1.00, 0.21
#
12,         baseline,196,  0.74,  0.11,              ------ |  *   ------------ ,  0.39,  1.00, 0.00
