#
 0,    gemini/exploit,20,  0.47,  0.00, *---------          |                   ,  0.47,  0.61, 9.80
 0,       gpt/exploit,20,  0.47,  0.00, *---------          |                   ,  0.47,  0.61, 210.77
#
 1,           exploit,20,  0.47,  0.06, *   ------          |                   ,  0.47,  0.71, 7.87
 1,           exploit,25,  0.47,  0.06, *   ------          |                   ,  0.47,  0.62, 3.40
 1,    gemini/exploit,25,  0.47,  0.03, * ---------------   |                   ,  0.47,  0.71, 1.87
 1,    gemini/exploit,30,  0.47,  0.14, *                   |                   ,  0.47,  0.61, 6.05
 1,       gpt/exploit,30,  0.47,  0.02, *---------          |                   ,  0.47,  0.61, 207.84
 1,               TPE,30,  0.50,  0.06, -*    ---           |                   ,  0.47,  0.60, 223.67
#
 2,             DEHB,100,  0.50,  0.03,  * -                |                   ,  0.47,  0.53, 22.45
 2,       gpt/exploit,25,  0.50,  0.06,   * ------          |                   ,  0.47,  0.61, 212.09
#
 3,               TPE,25,  0.53,  0.06,     * ---           |                   ,  0.50,  0.65, 120.89
 3,           UCB_GPM,20,  0.55,  0.08,       *   -         |                   ,  0.47,  0.62, 602.44
 3,            random,25,  0.55,  0.12,       *  ----       |                   ,  0.47,  0.67, 0.00
 3,           exploit,30,  0.55,  0.14,       *             |                   ,  0.47,  0.62, 7.49
 3,           UCB_GPM,25,  0.56,  0.06,    ---*   -         |                   ,  0.47,  0.63, 1187.07
 3,            EI_GPM,25,  0.56,  0.06,   -   * --          |                   ,  0.50,  0.61, 1161.87
 3,           UCB_GPM,30,  0.56,  0.05,     - *  --         |                   ,  0.52,  0.63, 1014.38
 3,            PI_GPM,30,  0.56,  0.06,    -- *   -         |                   ,  0.47,  0.62, 1389.67
 3,            EI_GPM,30,  0.56,  0.03,   -   *---          |                   ,  0.47,  0.62, 1205.12
 3,    gemini/explore,30,  0.56,  0.06, ----  *  ----       |                   ,  0.47,  0.65, 31.78
 3,       gpt/explore,30,  0.56,  0.06,    -  *  ---        |                   ,  0.47,  0.66, 210.57
 3,              DEHB,25,  0.56,  0.04,  --   *-----        |                   ,  0.50,  0.65, 6.06
 3,              DEHB,30,  0.56,  0.05,  --   *---          |                   ,  0.50,  0.62, 10.22
 3,               TPE,20,  0.57,  0.07,  ---   * -----      |                   ,  0.47,  0.67, 59.28
 3,              DEHB,20,  0.58,  0.04,  ----- * --         |                   ,  0.50,  0.64, 22.97
 3,            PI_GPM,25,  0.58,  0.05,   ---- *  -         |                   ,  0.47,  0.63, 1014.23
 3,            random,30,  0.58,  0.05,  ---   *--          |                   ,  0.47,  0.67, 0.00
 3,           explore,20,  0.59,  0.05,    ---  * -         |                   ,  0.47,  0.65, 8.90
 3,    gemini/explore,20,  0.59,  0.06,  -----  * -         |                   ,  0.47,  0.65, 10.54
 3,           explore,25,  0.59,  0.04,  -----  *--         |                   ,  0.47,  0.71, 1.57
 3,            random,20,  0.59,  0.01,   -----  *--        |                   ,  0.50,  0.65, 0.00
 3,            EI_GPM,20,  0.59,  0.06,    ---   *-         |                   ,  0.50,  0.63, 583.38
 3,       gpt/explore,25,  0.59,  0.06,  ----    *--        |                   ,  0.47,  0.70, 209.16
 3,    gemini/explore,25,  0.59,  0.05,   ----   *---       |                   ,  0.50,  0.67, 3.57
#
 4,       gpt/explore,20,  0.60,  0.07,  -----   *          |                   ,  0.47,  0.67, 269.12
 4,           explore,30,  0.60,  0.07,   ----   * ---      |                   ,  0.47,  0.71, 5.73
 4,            PI_GPM,20,  0.61,  0.06,   ---     *         |                   ,  0.50,  0.62, 622.20
#
 5,                rrp,9,  0.64,  0.15,     -----   *       |-----------------  ,  0.47,  1.00, 1.06
#
 6,         baseline,196,  0.76,  0.13,           --------  |*      ----------- ,  0.47,  1.00, 0.00
