#
 0,           UCB_GPM,20,  0.30,  0.00, *-------            |                   ,  0.30,  0.44, 619.02
 0,            PI_GPM,20,  0.30,  0.00, *-------            |                   ,  0.30,  0.44, 615.64
 0,            EI_GPM,20,  0.30,  0.00, *-------            |                   ,  0.30,  0.44, 545.87
 0,           exploit,20,  0.30,  0.00, *                   |                   ,  0.30,  0.50, 9.29
 0,    gemini/exploit,20,  0.30,  0.00, *                   |                   ,  0.30,  0.30, 12.71
 0,       gpt/exploit,20,  0.30,  0.00, *                   |                   ,  0.30,  0.30, 218.48
 0,           UCB_GPM,25,  0.30,  0.00, *                   |                   ,  0.30,  0.44, 1115.51
 0,            PI_GPM,25,  0.30,  0.00, *-------            |                   ,  0.30,  0.44, 992.49
 0,            EI_GPM,25,  0.30,  0.00, *                   |                   ,  0.30,  0.44, 1121.17
 0,           exploit,25,  0.30,  0.00, *-------            |                   ,  0.30,  0.44, 3.52
 0,    gemini/exploit,25,  0.30,  0.00, *                   |                   ,  0.30,  0.30, 10.32
 0,       gpt/exploit,25,  0.30,  0.00, *                   |                   ,  0.30,  0.30, 211.48
 0,           UCB_GPM,30,  0.30,  0.00, *-------            |                   ,  0.30,  0.44, 827.69
 0,            PI_GPM,30,  0.30,  0.00, *                   |                   ,  0.30,  0.30, 1174.83
 0,            EI_GPM,30,  0.30,  0.00, *                   |                   ,  0.30,  0.30, 1445.43
 0,           exploit,30,  0.30,  0.00, *                   |                   ,  0.30,  0.44, 6.75
 0,    gemini/exploit,30,  0.30,  0.00, *                   |                   ,  0.30,  0.30, 9.25
 0,    gemini/explore,30,  0.30,  0.20, *          -        |                   ,  0.30,  0.72, 11.51
 0,       gpt/exploit,30,  0.30,  0.00, *                   |                   ,  0.30,  0.30, 210.53
#
 1,       gpt/explore,20,  0.44,  0.14,         *-----------|                   ,  0.30,  0.78, 211.29
 1,            random,25,  0.44,  0.15,         *---        |                   ,  0.30,  0.51, 0.00
 1,               TPE,25,  0.44,  0.15,         *--------   |                   ,  0.30,  0.67, 267.67
 1,       gpt/explore,25,  0.44,  0.21,         *   ------- |                   ,  0.30,  0.72, 211.91
 1,               TPE,30,  0.44,  0.15,         *--         |                   ,  0.30,  0.65, 252.45
 1,    gemini/explore,20,  0.44,  0.17,         *-----------|                   ,  0.30,  0.75, 12.93
#
 2,            random,30,  0.44,  0.20,         *  -------- |                   ,  0.30,  0.65, 0.00
 2,       gpt/explore,30,  0.44,  0.20,         *  -------- |                   ,  0.30,  0.67, 210.64
 2,             DEHB,100,  0.47,  0.29, -------- *          |    ---------      ,  0.30,  0.92, 29.57
 2,           explore,25,  0.50,  0.20, ---------  *        |---------          ,  0.30,  0.94, 2.57
 2,               TPE,20,  0.50,  0.15, --------   *     ---|--                 ,  0.30,  0.82, 68.77
 2,    gemini/explore,25,  0.51,  0.15, --------    *   ----|--                 ,  0.30,  0.99, 10.29
 2,            random,20,  0.51,  0.22, --------    *       |----               ,  0.30,  0.78, 0.00
 2,                rrp,9,  0.60,  0.40,                  *  | ------            ,  0.30,  0.89, 1.08
#
 3,           explore,30,  0.65,  0.19,         ----       *| ---------         ,  0.30,  0.95, 4.96
#
 4,           explore,20,  0.74,  0.22,         ---------   |    *   ---        ,  0.30,  0.93, 9.44
#
 5,              DEHB,20,  0.89,  0.03,                     |         -- *-     ,  0.44,  0.95, 23.92
 5,              DEHB,25,  0.91,  0.02,                     |-------------*--   ,  0.50,  0.97, 9.23
#
 6,              DEHB,30,  0.91,  0.06,                     |    ------   *     ,  0.45,  0.96, 16.73
 6,         baseline,259,  0.95,  0.12,                  ---|----------     * - ,  0.30,  1.00, 0.00
