#
 0,           UCB_GPM,20,  0.25,  0.12, *     -             |                   ,  0.25,  0.50, 741.06
 0,            PI_GPM,20,  0.25,  0.07, *  -----            |                   ,  0.25,  0.40, 702.21
 0,            EI_GPM,20,  0.25,  0.12, *     --            |                   ,  0.25,  0.47, 995.26
 0,           exploit,20,  0.25,  0.16, *       -----       |                   ,  0.25,  0.75, 13.30
 0,    gemini/exploit,20,  0.25,  0.15, *       --          |                   ,  0.25,  0.50, 15.76
 0,       gpt/exploit,20,  0.25,  0.00, *------------       |                   ,  0.25,  0.75, 213.68
 0,           UCB_GPM,25,  0.25,  0.12, *     --            |                   ,  0.25,  0.45, 1091.15
 0,            PI_GPM,25,  0.25,  0.12, *     --            |                   ,  0.25,  0.45, 1186.48
#
 1,            EI_GPM,25,  0.25,  0.12, *     --            |                   ,  0.25,  0.45, 1107.66
 1,           exploit,25,  0.25,  0.20, *         ---       |                   ,  0.25,  0.50, 1.41
 1,    gemini/exploit,25,  0.25,  0.00, *---------          |                   ,  0.25,  0.50, 9.36
 1,       gpt/exploit,25,  0.25,  0.07, *  ----------       |                   ,  0.25,  0.50, 237.46
 1,           UCB_GPM,30,  0.25,  0.07, *  --------         |                   ,  0.25,  0.50, 1570.65
 1,            PI_GPM,30,  0.25,  0.00, *-------            |                   ,  0.25,  0.50, 1087.84
#
 2,            EI_GPM,30,  0.25,  0.00, *-------            |                   ,  0.25,  0.45, 775.99
 2,           exploit,30,  0.25,  0.07, *  -----------------|-----              ,  0.25,  0.75, 4.54
#
 3,    gemini/exploit,30,  0.25,  0.07, *  ----------       |                   ,  0.25,  0.75, 34.77
#
 4,       gpt/exploit,30,  0.25,  0.07, *  ----------       |                   ,  0.25,  0.50, 207.22
#
 5,               TPE,20,  0.36,  0.20,      *    ---       |                   ,  0.25,  0.50, 272.38
#
 6,            random,30,  0.37,  0.09, ---   * -----       |                   ,  0.25,  0.50, 0.00
#
 7,               TPE,30,  0.37,  0.20,       *   ---       |                   ,  0.25,  0.50, 304.01
 7,               TPE,25,  0.38,  0.11, ----- *    --       |                   ,  0.25,  0.50, 416.07
#
 8,    gemini/explore,20,  0.39,  0.18, ---    *            |                   ,  0.25,  0.58, 16.02
 8,       gpt/explore,30,  0.39,  0.09,    --  *  ---       |                   ,  0.25,  0.50, 208.87
 8,       gpt/explore,20,  0.40,  0.13, ------  *           |                   ,  0.25,  0.75, 221.89
#
 9,    gemini/explore,30,  0.40,  0.08, ------  * ---       |                   ,  0.25,  0.62, 4.72
 9,             DEHB,100,  0.40,  0.09,    ---  *  --       |                   ,  0.25,  0.50, 47.12
 9,           explore,20,  0.45,  0.10, --------  *  ----   |                   ,  0.25,  0.62, 12.73
 9,            random,25,  0.45,  0.14, -----     *         |                   ,  0.25,  0.50, 0.00
#
10,    gemini/explore,25,  0.45,  0.11, -------   *         |                   ,  0.25,  0.55, 16.78
10,       gpt/explore,25,  0.45,  0.11,    ----   *         |                   ,  0.25,  0.50, 214.03
10,            random,20,  0.47,  0.13,     --     *        |                   ,  0.25,  0.54, 0.00
10,           explore,25,  0.47,  0.05, ---------- * -------|-----              ,  0.25,  0.75, 1.00
#
11,               rrp,10,  0.50,  0.07,       -------*  ----|-----              ,  0.25,  0.75, 0.93
11,           explore,30,  0.50,  0.10, --------     *      |                   ,  0.25,  0.58, 2.59
#
12,              DEHB,20,  0.50,  0.00,       -------*-     |                   ,  0.25,  0.54, 13.07
12,              DEHB,25,  0.50,  0.04,           -  *-     |                   ,  0.25,  0.55, 12.76
12,              DEHB,30,  0.50,  0.00,       -------*-     |                   ,  0.25,  0.75, 11.15
#
13,         baseline,398,  0.75,  0.16,              -----  |     *-------------,  0.25,  1.00, 0.00
