#
 0,               rrp,14,  0.00,  1.00, *                   |                   ,  0.00,  1.00, 1.96
 0,            random,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 0,           UCB_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 59.74
 0,            PI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 64.33
 0,            EI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 66.48
 0,               TPE,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 129.83
 0,           exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 1.83
 0,           explore,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 1.80
 0,    gemini/exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 9.52
 0,    gemini/explore,20,  0.00,  0.00, *                   |                   ,  0.00,  1.00, 9.32
 0,       gpt/exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 210.43
 0,       gpt/explore,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 210.34
 0,            random,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 0,           UCB_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 58.38
 0,            PI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 62.84
 0,            EI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 63.74
 0,               TPE,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 159.04
 0,           exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 1.86
 0,           explore,25,  0.00,  0.00, *-------------------|-------------------,  0.00,  1.00, 1.84
 0,    gemini/exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 9.32
 0,    gemini/explore,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 9.39
 0,       gpt/exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 210.35
 0,       gpt/explore,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 210.38
 0,            random,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 0.00
 0,           UCB_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 58.97
 0,            PI_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 63.12
 0,            EI_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 66.56
 0,               TPE,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 315.49
 0,           exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  1.00, 1.84
 0,           explore,30,  0.00,  0.00, *                   |                   ,  0.00,  1.00, 1.82
 0,    gemini/exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  1.00, 9.25
#
 1,    gemini/explore,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 9.44
#
 2,       gpt/exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 210.35
#
 3,       gpt/explore,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 210.28
#
 4,              DEHB,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 15.00
#
 5,              DEHB,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 13.86
#
 6,              DEHB,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 13.91
#
 7,             DEHB,100,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 15.77
