#
 0,            PI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 662.73
 0,           exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 10.31
 0,    gemini/exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 8.56
 0,       gpt/exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 207.76
 0,           exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 6.21
 0,    gemini/exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 10.61
 0,       gpt/exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 206.83
 0,           exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.06, 4.64
#
 1,    gemini/exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 36.59
#
 2,       gpt/exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 210.39
#
 3,           UCB_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 675.53
 3,       gpt/explore,20,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 208.02
 3,            PI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 1128.03
#
 4,            EI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 994.93
 4,           UCB_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 1008.29
#
 5,            PI_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 1462.28
#
 6,       gpt/explore,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 206.30
 6,           UCB_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 1236.24
 6,       gpt/explore,25,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 207.24
 6,            random,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 0.00
 6,               TPE,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 227.10
 6,    gemini/explore,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 3.88
 6,            EI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 703.36
 6,            EI_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 975.25
 6,    gemini/explore,20,  0.00,  0.00, *                   |                   ,  0.00,  0.02, 27.84
 6,    gemini/explore,25,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 11.68
 6,            random,20,  0.00,  0.00, *                   |                   ,  0.00,  0.07, 0.00
 6,           explore,20,  0.00,  0.00, *                   |                   ,  0.00,  0.02, 2.75
#
 7,               TPE,25,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 204.38
 7,           explore,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 3.89
 7,               TPE,20,  0.00,  0.01, *                   |                   ,  0.00,  0.05, 215.44
#
 8,                rrp,9,  0.01,  0.01, *------             |                   ,  0.00,  0.73, 0.15
#
 9,           explore,25,  0.01,  0.01, *-                  |                   ,  0.00,  0.16, 6.50
#
10,            random,25,  0.01,  0.00, *                   |                   ,  0.00,  0.06, 0.00
#
11,             DEHB,100,  0.07,  0.03,   *-----            |                   ,  0.05,  0.21, 27.85
#
12,              DEHB,30,  0.08,  0.13,   -*    -           |                   ,  0.05,  0.24, 9.05
#
13,              DEHB,25,  0.21,  0.13,         *           |                   ,  0.07,  0.25, 7.49
13,              DEHB,20,  0.21,  0.13,         *           |                   ,  0.05,  0.25, 28.67
#
14,         baseline,196,  0.26,  0.13, -------   * ------  |                   ,  0.00,  1.00, 0.00
