#
 0,           exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 3.93
 0,    gemini/exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 23.27
 0,       gpt/exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 206.85
 0,           exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 7.99
 0,    gemini/exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 11.74
 0,       gpt/exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 205.73
 0,           exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.05, 4.82
 0,    gemini/exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 37.91
#
 1,       gpt/exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 211.80
#
 2,            PI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 689.68
 2,            EI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 1132.58
 2,    gemini/explore,25,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 10.17
 2,            random,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 0.00
 2,            EI_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 996.52
#
 3,       gpt/explore,20,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 208.35
 3,           UCB_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 1131.03
 3,            PI_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 1455.61
 3,       gpt/explore,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 206.15
 3,           UCB_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 655.52
 3,            EI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 721.58
 3,    gemini/explore,20,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 4.17
 3,            PI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 1096.32
 3,               TPE,25,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 189.65
 3,           UCB_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 1008.47
#
 4,               TPE,30,  0.00,  0.00, *                   |                   ,  0.00,  0.05, 140.84
 4,    gemini/explore,30,  0.00,  0.01, *                   |                   ,  0.00,  0.01, 2.85
 4,               TPE,20,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 224.94
 4,            random,20,  0.00,  0.00, *                   |                   ,  0.00,  0.06, 0.00
 4,            random,25,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 0.00
 4,       gpt/explore,25,  0.00,  0.01, *                   |                   ,  0.00,  0.01, 208.90
 4,           explore,30,  0.00,  0.01, *                   |                   ,  0.00,  0.01, 5.92
 4,           explore,20,  0.00,  0.01, *                   |                   ,  0.00,  0.06, 3.14
#
 5,           explore,25,  0.00,  0.01, *                   |                   ,  0.00,  0.01, 8.00
#
 6,                rrp,9,  0.01,  0.01, *                   |                   ,  0.00,  0.75, 0.08
#
 7,             DEHB,100,  0.06,  0.02,   *-                |                   ,  0.04,  0.22, 15.16
#
 8,              DEHB,20,  0.10,  0.16,  -  *   -           |                   ,  0.04,  0.24, 20.57
#
 9,              DEHB,25,  0.22,  0.13,  ---    *           |                   ,  0.04,  0.24, 10.32
 9,              DEHB,30,  0.22,  0.12,   --    *           |                   ,  0.04,  0.23, 13.40
#
10,         baseline,196,  0.25,  0.13, --------  *  ------ |                   ,  0.00,  1.00, 0.00
