#
 0,    gemini/exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 46.68
 0,       gpt/exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 206.53
#
 1,           exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 3.92 
#
 2,           exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 1.90
 2,    gemini/exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 6.96
 2,       gpt/exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 207.12
 2,           exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 5.92
 2,    gemini/exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 21.86
 2,       gpt/exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 207.28
#
 3,           UCB_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 629.58
 3,            EI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 678.07
 3,            PI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 1077.84
 3,            EI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 1013.51
 3,            PI_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 1424.16
#
 4,            EI_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 1055.09
#
 5,            PI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 646.22
 5,           UCB_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 1136.18
#
 6,       gpt/explore,25,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 205.91
 6,           UCB_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 886.01
 6,    gemini/explore,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 3.77
 6,       gpt/explore,30,  0.00,  0.01, *                   |                   ,  0.00,  0.01, 212.26
 6,    gemini/explore,20,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 1.90
 6,            random,25,  0.00,  0.00, *                   |                   ,  0.00,  0.02, 0.00
 6,               TPE,20,  0.00,  0.00, *                   |                   ,  0.00,  0.05, 228.14
 6,            random,30,  0.00,  0.00, *                   |                   ,  0.00,  0.06, 0.00
#
 7,               TPE,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 143.64
 7,       gpt/explore,20,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 208.38
 7,               TPE,25,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 305.55
 7,           explore,25,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 0.48
 7,    gemini/explore,25,  0.00,  0.00, *                   |                   ,  0.00,  0.02, 4.60
 7,           explore,30,  0.00,  0.01, *                   |                   ,  0.00,  0.02, 6.92
#
 8,            random,20,  0.01,  0.00, *                   |                   ,  0.00,  0.02, 0.00
#
 9,           explore,20,  0.01,  0.01, *-                  |                   ,  0.00,  0.06, 3.86
#
10,                rrp,9,  0.02,  0.01, *-                  |                   ,  0.00,  0.10, 0.86
#
11,             DEHB,100,  0.05,  0.02,   *-----            |                   ,  0.05,  0.22, 17.44
#
12,              DEHB,30,  0.21,  0.02,   ------*           |                   ,  0.05,  0.25, 7.51
#
13,              DEHB,20,  0.22,  0.00,   ------*           |                   ,  0.05,  0.25, 32.10
13,              DEHB,25,  0.22,  0.02,   ------*           |                   ,  0.05,  0.25, 8.25
#
14,         baseline,196,  0.26,  0.13, --------  *  -----  |                   ,  0.00,  1.00, 0.00
