#
 0,    gemini/exploit,30,  0.00,  0.00, *-                  |                   ,  0.00,  0.07, 15.40
 0,    gemini/exploit,20,  0.00,  0.00, *--                 |                   ,  0.00,  0.12, 72.72
 0,       gpt/exploit,20,  0.00,  0.00, *-                  |                   ,  0.00,  0.04, 257.81
 0,            EI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 1305.78
 0,           UCB_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 591.75
 0,            EI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 597.72
 0,            EI_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 360.33
 0,            PI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 918.04
 0,            PI_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 594.52
 0,            PI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 653.04
 0,           UCB_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 818.26
 0,           exploit,25,  0.00,  0.02, * --                |                   ,  0.00,  0.14, 8.66
 0,           UCB_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 512.73
 0,       gpt/exploit,25,  0.00,  0.02, * -                 |                   ,  0.00,  0.07, 248.80
 0,           exploit,30,  0.00,  0.02, * ----              |                   ,  0.00,  0.13, 6.32
 0,               TPE,25,  0.00,  0.00, *                   |                   ,  0.00,  0.02, 3350.07
 0,               TPE,30,  0.00,  0.00, *-                  |                   ,  0.00,  0.08, 365.13
 0,            random,30,  0.00,  0.01, *---                |                   ,  0.00,  0.05, 0.00
 0,            random,20,  0.00,  0.01, *---                |                   ,  0.00,  0.05, 0.00
 0,       gpt/exploit,30,  0.00,  0.02, * ----              |                   ,  0.00,  0.10, 214.89
 0,    gemini/explore,30,  0.01,  0.02, * ------            |                   ,  0.00,  0.17, 15.66
 0,    gemini/explore,25,  0.01,  0.04, *  ---              |                   ,  0.00,  0.08, 20.52
 0,               rrp,12,  0.01,  0.02, * -------------     |                   ,  0.00,  0.25, 2.58
 0,           explore,30,  0.01,  0.02, * --------          |                   ,  0.00,  0.14, 5.38
 0,            random,25,  0.01,  0.01, *---                |                   ,  0.00,  0.05, 0.00
#
 1,    gemini/exploit,25,  0.01,  0.02, * -                 |                   ,  0.00,  0.08, 50.12
 1,           explore,25,  0.01,  0.02,  *------            |                   ,  0.00,  0.23, 7.81
 1,       gpt/explore,20,  0.01,  0.02,  *--                |                   ,  0.00,  0.05, 287.52
 1,           exploit,20,  0.02,  0.04,   *---              |                   ,  0.00,  0.08, 17.69
 1,       gpt/explore,30,  0.02,  0.02,   *----             |                   ,  0.00,  0.17, 213.78
#
 2,           explore,20,  0.02,  0.04,   *-----            |                   ,  0.00,  0.09, 13.76
 2,               TPE,20,  0.02,  0.02,   *---------        |                   ,  0.00,  0.13, 2749.89
 2,    gemini/explore,20,  0.02,  0.02,   *--               |                   ,  0.00,  0.08, 82.99
 2,       gpt/explore,25,  0.02,  0.05,   * --              |                   ,  0.00,  0.12, 253.14
#
 3,        baseline,2880,  0.06,  0.05, ---- *  ----        |                   ,  0.00,  0.39, 0.01
#
 4,             DEHB,100,  0.10,  0.03,       -- *-----     |                   ,  0.02,  0.19, 82.28
 4,              DEHB,30,  0.13,  0.04,          -  * ------|-----------        ,  0.02,  0.36, 40.86
 4,              DEHB,25,  0.13,  0.08,           --*      -|-----------        ,  0.09,  0.44, 37.45
 4,              DEHB,20,  0.14,  0.05,              *  ----|-----------------  ,  0.10,  0.42, 36.27
