#
 0,       gpt/exploit,20,  0.00,  0.01, *-----------        |                   ,  0.00,  0.35, 229.30
 0,           exploit,25,  0.01,  0.30, *          ----     |                   ,  0.00,  0.40, 16.74
 0,           exploit,30,  0.01,  0.05, *-----------        |                   ,  0.00,  0.31, 3.57
 0,       gpt/exploit,30,  0.01,  0.26, *         ---       |                   ,  0.00,  0.35, 229.73
 0,    gemini/exploit,25,  0.01,  0.03, *------------       |                   ,  0.00,  0.34, 22.25
 0,       gpt/exploit,25,  0.01,  0.31, *                   |                   ,  0.00,  0.33, 236.25
 0,             DEHB,100,  0.01,  0.04, *-----              |                   ,  0.01,  0.26, 18.39
 0,           UCB_GPM,20,  0.01,  0.01, *-                  |                   ,  0.00,  0.28, 586.94
 0,            PI_GPM,20,  0.01,  0.02, *-                  |                   ,  0.00,  0.29, 625.05
 0,    gemini/exploit,20,  0.01,  0.25, *         ---       |                   ,  0.00,  0.35, 28.57
 0,            PI_GPM,30,  0.01,  0.01, *-----              |                   ,  0.00,  0.23, 986.66
 0,           UCB_GPM,25,  0.02,  0.01, *----------         |                   ,  0.00,  0.31, 928.35
 0,            PI_GPM,25,  0.02,  0.01, *----------         |                   ,  0.00,  0.28, 945.30
 0,            EI_GPM,25,  0.02,  0.01, *----------         |                   ,  0.00,  0.31, 920.84
 0,            EI_GPM,30,  0.02,  0.02, *----------         |                   ,  0.00,  0.30, 764.76
 0,            EI_GPM,20,  0.02,  0.03, * -                 |                   ,  0.00,  0.29, 544.86
#
 1,    gemini/explore,25,  0.03,  0.27,  *         -        |                   ,  0.00,  0.34, 18.13
 1,           UCB_GPM,30,  0.05,  0.26,  *         -        |                   ,  0.00,  0.32, 1294.13
#
 2,              DEHB,25,  0.05,  0.18, - *      ----       |                   ,  0.01,  0.38, 59.37
 2,            random,25,  0.08,  0.21, -  *      ---       |                   ,  0.00,  0.37, 0.00
 2,            random,30,  0.08,  0.14, -  *  -------       |                   ,  0.01,  0.36, 0.00
 2,               TPE,30,  0.09,  0.13, -- *   -----        |                   ,  0.01,  0.31, 1029.36
 2,            random,20,  0.09,  0.23, -- *       --       |                   ,  0.00,  0.35, 0.00
 2,               TPE,25,  0.15,  0.22,      *    --        |                   ,  0.01,  0.32, 1072.12
#
 3,               TPE,20,  0.17,  0.26,       *    --       |                   ,  0.00,  0.34, 900.37
 3,              DEHB,20,  0.17,  0.25,       *   ---       |                   ,  0.01,  0.34, 26.44
 3,              DEHB,30,  0.17,  0.25,       *   ---       |                   ,  0.01,  0.35, 16.87
 3,           explore,20,  0.17,  0.23, --    *    --       |                   ,  0.00,  0.37, 12.88
 3,       gpt/explore,30,  0.18,  0.26,        *  --        |                   ,  0.00,  0.36, 211.68
 3,    gemini/explore,20,  0.19,  0.26, -      *   ---      |                   ,  0.00,  0.47, 28.17
 3,           exploit,20,  0.26,  0.31,           * -       |                   ,  0.00,  0.34, 10.66
 3,       gpt/explore,25,  0.27,  0.30,           * -       |                   ,  0.00,  0.40, 226.01
 3,    gemini/explore,30,  0.27,  0.27, -         * -       |                   ,  0.00,  0.38, 10.83
 3,       gpt/explore,20,  0.28,  0.32,            * -      |                   ,  0.00,  0.48, 233.84
 3,           explore,30,  0.30,  0.31,            * -      |                   ,  0.00,  0.36, 6.77
 3,    gemini/exploit,30,  0.31,  0.32,             *       |                   ,  0.00,  0.36, 14.25
#
 4,           explore,25,  0.32,  0.05, ----------- *-      |                   ,  0.00,  0.37, 7.74
 4,               rrp,11,  0.32,  0.06, ----------- *---    |                   ,  0.00,  0.45, 2.49
#
 5,        baseline,1080,  0.43,  0.09,             ---  * -|-----              ,  0.00,  1.00, 0.01
