#
 0,             DEHB,100,  0.04,  0.02, *-                  |                   ,  0.03,  0.09, 125.14
#
 1,            PI_GPM,20,  0.04,  0.02, *                   |                   ,  0.03,  0.08, 649.66
 1,            EI_GPM,20,  0.05,  0.02, *                   |                   ,  0.03,  0.08, 602.06
 1,           UCB_GPM,25,  0.05,  0.01, *                   |                   ,  0.03,  0.09, 1203.78
#
 2,            PI_GPM,25,  0.05,  0.02, *-                  |                   ,  0.04,  0.10, 1279.18
 2,            PI_GPM,30,  0.05,  0.01, *                   |                   ,  0.03,  0.09, 313.75
 2,           UCB_GPM,20,  0.06,  0.03,  *                  |                   ,  0.03,  0.09, 616.08
 2,            EI_GPM,25,  0.06,  0.02,  *                  |                   ,  0.03,  0.08, 949.98
 2,           UCB_GPM,30,  0.06,  0.01,  *                  |                   ,  0.03,  0.09, 314.33
 2,            EI_GPM,30,  0.06,  0.01,  *                  |                   ,  0.03,  0.08, 363.80
 2,       gpt/exploit,20,  0.06,  0.03,  *--------------    |                   ,  0.03,  0.66, 271.15
#
 3,       gpt/exploit,30,  0.06,  0.21,  *       -------    |                   ,  0.03,  0.82, 215.79
 3,           exploit,30,  0.06,  0.24, -*        -----     |                   ,  0.03,  0.42, 6.33
 3,           exploit,20,  0.07,  0.20, -*       -----------|----------         ,  0.03,  0.82, 17.50
 3,           exploit,25,  0.07,  0.03, -*-------------     |                   ,  0.03,  0.82, 3.09
 3,    gemini/exploit,20,  0.08,  0.33, -*            --    |                   ,  0.03,  0.66, 90.25
 3,               TPE,30,  0.08,  0.03, - *                 |                   ,  0.03,  0.16, 566.31
 3,       gpt/explore,30,  0.09,  0.22,   *       ------    |                   ,  0.03,  0.45, 215.70
 3,            random,20,  0.09,  0.06,   * --              |                   ,  0.07,  0.19, 0.00
 3,              DEHB,25,  0.09,  0.06, - *---------        |                   ,  0.03,  0.34, 47.22
 3,           explore,30,  0.10,  0.28, -- *         -------|-----------        ,  0.04,  0.83, 5.17
 3,            random,25,  0.11,  0.05,  - *--------        |                   ,  0.06,  0.41, 0.00
 3,            random,30,  0.11,  0.05,  - *-               |                   ,  0.05,  0.42, 0.00
 3,              DEHB,20,  0.11,  0.06, -  *--------        |                   ,  0.04,  0.39, 38.38
 3,           explore,20,  0.11,  0.20,  - *      ------    |                   ,  0.05,  0.52, 24.20
#
 4,       gpt/exploit,25,  0.11,  0.24,    *      ------    |                   ,  0.03,  0.82, 239.03
 4,              DEHB,30,  0.11,  0.05, -  *--------        |                   ,  0.05,  0.33, 59.32
 4,               rrp,13,  0.12,  0.24,  - *        --------|-------------      ,  0.05,  0.98, 2.36
 4,               TPE,20,  0.12,  0.04,  - *--------        |                   ,  0.04,  0.53, 4368.82
 4,               TPE,25,  0.12,  0.06,  - *----------      |                   ,  0.03,  0.40, 2772.69
#
 5,    gemini/exploit,30,  0.15,  0.20, -   *     ------    |                   ,  0.03,  0.42, 22.12
 5,    gemini/explore,20,  0.23,  0.34, -       *      ---- |                   ,  0.04,  0.66, 74.10
 5,    gemini/explore,25,  0.23,  0.34,         *      -----|-----              ,  0.03,  0.82, 46.03
 5,       gpt/explore,20,  0.26,  0.26, -        *  --------|-----              ,  0.03,  0.82, 326.41
#
 6,    gemini/explore,30,  0.28,  0.26, -         * --------|-----------        ,  0.03,  0.83, 22.03
 6,           explore,25,  0.30,  0.30,  ---       *    ----|-----------        ,  0.05,  0.83, 4.31
 6,       gpt/explore,25,  0.35,  0.13,     ------   *  ----|-----              ,  0.05,  0.82, 219.52
 6,    gemini/exploit,25,  0.38,  0.31,  -            *-----|-----              ,  0.03,  0.93, 40.00
#
 7,        baseline,3840,  0.85,  0.04,                     |            * ---- ,  0.79,  1.00, 0.00
