#
 0,            EI_GPM,20,  0.06,  0.04,  * --               |                   ,  0.03,  0.21, 597.31
 0,           UCB_GPM,25,  0.06,  0.01,  *---               |                   ,  0.05,  0.15, 1001.88
 0,            PI_GPM,25,  0.06,  0.00,  *---               |                   ,  0.03,  0.14, 1022.13
 0,             DEHB,100,  0.06,  0.01,  *--                |                   ,  0.03,  0.14, 93.37
 0,           UCB_GPM,20,  0.07,  0.05,  * -----            |                   ,  0.02,  0.26, 606.09
 0,            EI_GPM,30,  0.07,  0.07,  *  --              |                   ,  0.03,  0.19, 435.80
#
 1,            EI_GPM,25,  0.08,  0.07,   * ---             |                   ,  0.02,  0.23, 1503.24
 1,            PI_GPM,30,  0.08,  0.09,   *  -              |                   ,  0.05,  0.19, 462.13
 1,            PI_GPM,20,  0.09,  0.06,   * ----            |                   ,  0.02,  0.25, 641.15
 1,    gemini/exploit,25,  0.12,  0.07, --  *------------   |                   ,  0.03,  0.47, 43.37
#
 2,    gemini/exploit,20,  0.13,  0.19, --  *     ---       |                   ,  0.02,  0.39, 73.40
 2,              DEHB,30,  0.14,  0.05,  -- *----           |                   ,  0.05,  0.37, 44.74
 2,           UCB_GPM,30,  0.14,  0.13,     *  -            |                   ,  0.03,  0.22, 515.38
 2,       gpt/exploit,25,  0.14,  0.14, --  *  --------     |                   ,  0.02,  0.44, 291.56
 2,              DEHB,20,  0.15,  0.11,  -   * ----------   |                   ,  0.05,  0.45, 38.34
 2,              DEHB,25,  0.15,  0.10,  -   *---           |                   ,  0.05,  0.35, 42.59
#
 3,       gpt/exploit,20,  0.17,  0.27,  ---  *        ---  |                   ,  0.03,  0.61, 287.90
 3,       gpt/explore,20,  0.18,  0.23,  ---- *       ----  |                   ,  0.03,  0.55, 317.07
 3,       gpt/exploit,30,  0.19,  0.21,  -    *    ----     |                   ,  0.03,  0.53, 215.31
 3,           explore,25,  0.19,  0.15,     - *    -------- |                   ,  0.10,  0.56, 5.38
 3,               TPE,25,  0.19,  0.14,  ---   * -----      |                   ,  0.05,  0.44, 2561.43
 3,               TPE,30,  0.20,  0.12,    --  *  ------    |                   ,  0.03,  0.46, 361.13
 3,    gemini/explore,25,  0.20,  0.33,  --    *         ---|                   ,  0.05,  0.65, 48.11
 3,            random,30,  0.21,  0.11,  ----  *  ------    |                   ,  0.03,  0.47, 0.00
 3,           exploit,30,  0.21,  0.21,  ---   *     -----  |                   ,  0.03,  0.47, 7.61
 3,    gemini/exploit,30,  0.21,  0.16, -      *--------    |                   ,  0.03,  0.48, 18.84
 3,           explore,20,  0.22,  0.26,  ----   *      ---  |                   ,  0.03,  0.48, 5.09
#
 4,               TPE,20,  0.23,  0.20,      -- *      ---  |                   ,  0.06,  0.48, 2954.53
 4,           explore,30,  0.23,  0.29,  -----  *         --|-                  ,  0.03,  0.77, 5.44
 4,           exploit,20,  0.24,  0.32,  ----   *        -- |                   ,  0.03,  0.50, 13.08
 4,           exploit,25,  0.25,  0.25, ----     *     ---  |                   ,  0.03,  0.54, 3.07
 4,       gpt/explore,30,  0.26,  0.27,   --     *     -----|-                  ,  0.05,  0.58, 214.73
#
 5,            random,20,  0.32,  0.22,     --      *  -----|                   ,  0.11,  0.58, 0.00
 5,            random,25,  0.33,  0.19,      ---    *  ---  |                   ,  0.11,  0.52, 0.00
 5,       gpt/explore,25,  0.33,  0.26,   --        *  -----|                   ,  0.02,  0.60, 282.97
 5,    gemini/explore,20,  0.34,  0.19,      ---     * ---- |                   ,  0.07,  0.50, 48.38
 5,    gemini/explore,30,  0.34,  0.31,  ---         *  --- |                   ,  0.02,  0.71, 20.17
#
 6,               rrp,12,  0.45,  0.24,        ---       *  |-------------      ,  0.06,  0.99, 2.03
#
 7,        baseline,2880,  0.94,  0.05,                     |             -- *- ,  0.61,  1.00, 0.02
