#
 0,           UCB_GPM,20,  0.08,  0.00, *                   |                   ,  0.08,  0.09, 595.89
 0,            PI_GPM,20,  0.08,  0.00, *                   |                   ,  0.08,  0.10, 641.49
 0,            EI_GPM,20,  0.08,  0.00, *                   |                   ,  0.08,  0.10, 547.83
 0,           UCB_GPM,25,  0.08,  0.00, *                   |                   ,  0.08,  0.08, 1096.69
 0,            PI_GPM,25,  0.08,  0.00, *                   |                   ,  0.08,  0.26, 928.00
 0,            EI_GPM,25,  0.08,  0.00, *                   |                   ,  0.08,  0.10, 1032.10
 0,           UCB_GPM,30,  0.08,  0.00, *                   |                   ,  0.08,  0.10, 943.46
 0,            PI_GPM,30,  0.08,  0.00, *                   |                   ,  0.08,  0.12, 1414.63
#
 1,            EI_GPM,30,  0.08,  0.00, *                   |                   ,  0.08,  0.10, 1009.62
#
 2,             DEHB,100,  0.15,  0.11, - *   --            |                   ,  0.08,  0.37, 33.88
#
 3,           exploit,20,  0.15,  0.12,   *  ------         |                   ,  0.08,  0.37, 10.26
 3,    gemini/exploit,20,  0.15,  0.07,   *-----            |                   ,  0.08,  0.28, 64.73
 3,       gpt/exploit,20,  0.15,  0.07,   *-----            |                   ,  0.08,  0.42, 227.16
 3,       gpt/exploit,25,  0.15,  0.13,   *   --            |                   ,  0.08,  0.36, 230.67
 3,    gemini/exploit,30,  0.15,  0.12,   *  --             |                   ,  0.08,  0.32, 11.17
 3,    gemini/exploit,25,  0.17,  0.11,    * -----          |                   ,  0.08,  0.36, 25.24
 3,       gpt/exploit,30,  0.17,  0.16,    *   -            |                   ,  0.08,  0.36, 217.74
#
 4,           exploit,30,  0.22,  0.11, --    *             |                   ,  0.08,  0.36, 2.58
 4,            random,25,  0.26,  0.02,   -----*------      |                   ,  0.08,  0.46, 0.00
 4,           exploit,25,  0.26,  0.13, --     *----        |                   ,  0.08,  0.44, 15.82
 4,               TPE,30,  0.26,  0.19, ---    *   ---      |                   ,  0.08,  0.41, 482.46
 4,    gemini/explore,20,  0.26,  0.11,   ---- *  --------  |                   ,  0.09,  0.58, 18.32
#
 5,              DEHB,30,  0.26,  0.11,    --- *  ----      |                   ,  0.08,  0.45, 79.70
 5,           explore,25,  0.26,  0.03,    --- *---         |                   ,  0.10,  0.40, 1.80
 5,       gpt/explore,25,  0.26,  0.15,  ----  *   ------   |                   ,  0.08,  0.51, 223.79
 5,       gpt/explore,20,  0.27,  0.09, ------ *  ------    |                   ,  0.08,  0.58, 231.18
 5,    gemini/explore,25,  0.27,  0.09,   ---- *  -------   |                   ,  0.10,  0.51, 11.65
 5,    gemini/explore,30,  0.27,  0.16, ---    *  -----     |                   ,  0.08,  0.57, 78.47
 5,               TPE,20,  0.27,  0.17,   ----  *     --    |                   ,  0.09,  0.51, 401.38
 5,            random,30,  0.27,  0.10,  ------ *  ----     |                   ,  0.08,  0.49, 0.00
 5,       gpt/explore,30,  0.28,  0.11, ------- *   ---     |                   ,  0.08,  0.48, 222.31
 5,              DEHB,25,  0.28,  0.13,   ----  *  ---      |                   ,  0.09,  0.43, 26.08
 5,           explore,20,  0.32,  0.13,   ----    * --      |                   ,  0.08,  0.43, 14.10
#
 6,               TPE,25,  0.33,  0.14, -------   *  --     |                   ,  0.08,  0.43, 292.44
 6,               rrp,10,  0.36,  0.22,            *     ---|------             ,  0.10,  0.95, 0.86
 6,            random,20,  0.37,  0.15,       --    * ------|                   ,  0.15,  0.58, 0.00
 6,           explore,30,  0.37,  0.14, -------     *-----  |                   ,  0.08,  0.51, 2.11
 6,              DEHB,20,  0.37,  0.06,   --------- * ----  |                   ,  0.08,  0.57, 31.80
#
 7,         baseline,500,  0.70,  0.20,               ------|-     *   ---------,  0.08,  1.00, 0.00
