#
 0,       gpt/exploit,25,  0.07,  0.07,   * ----            |                   ,  0.01,  0.22, 230.29
 0,    gemini/exploit,25,  0.08,  0.04, --*--               |                   ,  0.00,  0.24, 18.89
#
 1,           exploit,25,  0.09,  0.04,  - *----            |                   ,  0.03,  0.26, 2.03
 1,           exploit,30,  0.09,  0.05,  - *---             |                   ,  0.00,  0.27, 12.62
 1,    gemini/exploit,30,  0.09,  0.03,  - *--              |                   ,  0.03,  0.27, 16.09
 1,       gpt/exploit,30,  0.09,  0.07,    * ----           |                   ,  0.03,  0.26, 218.94
 1,             DEHB,100,  0.09,  0.01,   -*--              |                   ,  0.03,  0.26, 36.17
 1,           UCB_GPM,20,  0.10,  0.04,  - *                |                   ,  0.00,  0.19, 598.69
 1,            PI_GPM,20,  0.10,  0.00,   -*-----           |                   ,  0.03,  0.24, 633.23
 1,            EI_GPM,20,  0.10,  0.00,   -*--              |                   ,  0.03,  0.26, 551.58
 1,           UCB_GPM,25,  0.10,  0.00,   -*                |                   ,  0.03,  0.24, 1073.03
 1,            PI_GPM,25,  0.10,  0.00,  --*                |                   ,  0.03,  0.10, 920.95
 1,            EI_GPM,25,  0.10,  0.04,  - *                |                   ,  0.00,  0.10, 1013.57
 1,           UCB_GPM,30,  0.10,  0.00,  --*---             |                   ,  0.00,  0.26, 849.45
 1,            PI_GPM,30,  0.10,  0.07,    *--              |                   ,  0.00,  0.17, 1362.36
 1,            EI_GPM,30,  0.10,  0.04,  - *--              |                   ,  0.03,  0.28, 1077.70
 1,    gemini/exploit,20,  0.10,  0.04,   - *------         |                   ,  0.03,  0.45, 49.69
 1,       gpt/explore,25,  0.10,  0.10, --  * -----         |                   ,  0.00,  0.45, 222.22
#
 2,           exploit,20,  0.10,  0.07,  -- * ---           |                   ,  0.00,  0.28, 16.40
 2,       gpt/exploit,20,  0.10,  0.07,  -  *---            |                   ,  0.03,  0.26, 230.07
 2,    gemini/explore,25,  0.11,  0.10, --- *  ---          |                   ,  0.00,  0.30, 15.12
 2,               TPE,30,  0.12,  0.07,   - * ---           |                   ,  0.00,  0.26, 564.25
 2,       gpt/explore,30,  0.12,  0.14, ----*    ------     |                   ,  0.00,  0.40, 217.43
 2,            random,25,  0.15,  0.18,  --  *     -        |                   ,  0.00,  0.34, 0.00
#
 3,              DEHB,20,  0.15,  0.13,   -- *   ---        |                   ,  0.05,  0.48, 30.51
 3,           explore,30,  0.15,  0.17, --    *  --         |                   ,  0.00,  0.30, 9.42
 3,    gemini/explore,20,  0.16,  0.14,   --  *  ----       |                   ,  0.00,  0.34, 15.65
 3,               TPE,25,  0.16,  0.14,       * ---         |                   ,  0.03,  0.29, 304.26
 3,            random,30,  0.16,  0.09,    -  *---          |                   ,  0.06,  0.31, 0.00
 3,           explore,20,  0.16,  0.13,   --  *  -          |                   ,  0.00,  0.30, 2.00
 3,    gemini/explore,30,  0.17,  0.14,   --  *  --         |                   ,  0.00,  0.35, 97.24
#
 4,               TPE,20,  0.22,  0.15,  ---    * ---       |                   ,  0.00,  0.37, 436.24
 4,              DEHB,25,  0.22,  0.13,         *--         |                   ,  0.00,  0.37, 25.89
 4,            random,20,  0.23,  0.12,    ---   * ----     |                   ,  0.00,  0.39, 0.00
 4,              DEHB,30,  0.23,  0.09,    ---   *---       |                   ,  0.03,  0.34, 75.18
 4,       gpt/explore,20,  0.24,  0.09,     --   *---       |                   ,  0.06,  0.44, 231.50
 4,           explore,25,  0.24,  0.14,  ---     *--        |                   ,  0.00,  0.48, 7.57
#
 5,               rrp,10,  0.26,  0.15,    --     *---------|                   ,  0.07,  1.00, 0.92
#
 6,         baseline,500,  0.63,  0.22,            -------- |    *  ------      ,  0.00,  1.00, 0.00
