#
 0,    gemini/exploit,25,  0.41,  0.04,     ------* -----   |                   ,  0.29,  0.55, 22.09
 0,             DEHB,100,  0.41,  0.03, ----------*-        |                   ,  0.19,  0.48, 26.93
 0,           exploit,30,  0.43,  0.02,            *-----   |                   ,  0.19,  0.59, 5.08
 0,       gpt/exploit,30,  0.43,  0.18,            * ---    |                   ,  0.19,  0.55, 218.15
 0,           UCB_GPM,20,  0.44,  0.00, ------------*       |                   ,  0.19,  0.44, 589.60
 0,            PI_GPM,20,  0.44,  0.15, ----        *       |                   ,  0.19,  0.53, 633.45
 0,            EI_GPM,20,  0.44,  0.00, ------------*       |                   ,  0.19,  0.46, 547.93
 0,    gemini/exploit,20,  0.44,  0.17,             *---    |                   ,  0.19,  0.55, 76.71
 0,       gpt/exploit,20,  0.44,  0.07,     ------  * --    |                   ,  0.19,  0.55, 229.43
 0,           UCB_GPM,25,  0.44,  0.00, ------------*       |                   ,  0.19,  0.44, 1130.45
 0,            PI_GPM,25,  0.44,  0.00, ------------*       |                   ,  0.19,  0.53, 937.52
 0,            EI_GPM,25,  0.44,  0.00,            -*---    |                   ,  0.19,  0.53, 1045.26
 0,           exploit,25,  0.44,  0.05,     ------  *-      |                   ,  0.29,  0.61, 14.32
 0,       gpt/exploit,25,  0.44,  0.05,     ------  *----   |                   ,  0.19,  0.55, 222.08
 0,           UCB_GPM,30,  0.44,  0.00, ------------*       |                   ,  0.19,  0.44, 942.06
 0,            PI_GPM,30,  0.44,  0.15, ----        *---    |                   ,  0.19,  0.53, 1426.83
 0,            EI_GPM,30,  0.44,  0.01, ----------- *       |                   ,  0.19,  0.44, 954.03
 0,               TPE,25,  0.44,  0.04,           --* ---   |                   ,  0.29,  0.56, 552.63
 0,               TPE,30,  0.44,  0.05,           - *------ |                   ,  0.19,  0.59, 428.87
 0,              DEHB,25,  0.44,  0.07,           - *  ---  |                   ,  0.19,  0.63, 32.37
 0,           exploit,20,  0.45,  0.05,     ------- * ---   |                   ,  0.19,  0.55, 6.02
 0,              DEHB,30,  0.45,  0.03,           --*--     |                   ,  0.40,  0.59, 86.95
 0,    gemini/explore,20,  0.45,  0.09,           --*   --- |                   ,  0.29,  0.64, 12.90
 0,    gemini/exploit,30,  0.45,  0.03,     ------- *----   |                   ,  0.29,  0.67, 12.53
#
 1,    gemini/explore,30,  0.46,  0.03,           -- *------|                   ,  0.29,  0.64, 41.63
 1,            random,25,  0.46,  0.08,           -- *  ----|-                  ,  0.19,  0.66, 0.00
 1,    gemini/explore,25,  0.46,  0.04,           -- *------|-                  ,  0.29,  0.64, 23.49
 1,               TPE,20,  0.46,  0.04,              *----- |                   ,  0.29,  0.64, 281.67
 1,            random,30,  0.46,  0.06,     -------  *------|                   ,  0.19,  0.61, 0.00
 1,              DEHB,20,  0.48,  0.04,     --------- *---- |                   ,  0.19,  0.61, 33.98
 1,            random,20,  0.48,  0.07,               * ----|                   ,  0.19,  0.66, 0.00
 1,           explore,20,  0.48,  0.14,           --  *    -|-                  ,  0.41,  0.72, 13.78
 1,       gpt/explore,20,  0.48,  0.05,           --  *--   |                   ,  0.29,  0.63, 226.29
 1,           explore,25,  0.48,  0.12,               *   --|---                ,  0.42,  0.87, 20.75
 1,       gpt/explore,25,  0.48,  0.12,           --  *  ---|-                  ,  0.29,  0.66, 225.16
 1,           explore,30,  0.48,  0.07,             - * ----|                   ,  0.40,  0.63, 2.15
 1,       gpt/explore,30,  0.48,  0.07,               * --- |                   ,  0.29,  0.59, 220.48
#
 2,               rrp,10,  0.56,  0.15,            ---    * | ----              ,  0.29,  0.81, 0.83
#
 3,         baseline,500,  0.76,  0.21,                   --|--     *    -------,  0.19,  1.00, 0.00
