#
 0,           exploit,20,  0.08,  0.04, -* --               |                   ,  0.05,  0.18, 7.83
 0,       gpt/exploit,30,  0.09,  0.03, -*--                |                   ,  0.05,  0.16, 219.39
 0,             DEHB,100,  0.11,  0.04, - *--               |                   ,  0.05,  0.18, 20.80
 0,    gemini/exploit,20,  0.11,  0.04,   *---              |                   ,  0.05,  0.20, 23.37
 0,       gpt/exploit,20,  0.11,  0.04, - *---              |                   ,  0.05,  0.21, 229.71
 0,           exploit,30,  0.11,  0.03, - *---              |                   ,  0.05,  0.22, 8.65
 0,    gemini/exploit,30,  0.11,  0.05, - *--               |                   ,  0.05,  0.20, 13.67
#
 1,           exploit,25,  0.11,  0.05,   *-                |                   ,  0.05,  0.16, 19.16
 1,    gemini/exploit,25,  0.11,  0.07, - * ----            |                   ,  0.05,  0.26, 22.62
 1,       gpt/exploit,25,  0.11,  0.05,   * ---             |                   ,  0.05,  0.27, 225.86
 1,       gpt/explore,30,  0.11,  0.04,  -* ----            |                   ,  0.05,  0.28, 224.29
 1,           explore,25,  0.13,  0.04,  - *---             |                   ,  0.08,  0.33, 16.98
 1,    gemini/explore,30,  0.13,  0.07,  - * -----          |                   ,  0.08,  0.31, 32.68
#
 2,            PI_GPM,20,  0.14,  0.04,  --* -              |                   ,  0.05,  0.22, 625.90
 2,               TPE,25,  0.14,  0.02,   -*--              |                   ,  0.11,  0.21, 674.02
 2,    gemini/explore,25,  0.14,  0.07,  --*  -             |                   ,  0.05,  0.25, 25.76
 2,               TPE,30,  0.14,  0.04,   -*                |                   ,  0.08,  0.19, 375.41
 2,           explore,30,  0.14,  0.09, -- *  ---           |                   ,  0.05,  0.28, 8.62
#
 3,    gemini/explore,20,  0.15,  0.05,  -  *               |                   ,  0.05,  0.19, 17.38
 3,              DEHB,30,  0.15,  0.07,   - * --            |                   ,  0.05,  0.31, 86.35
 3,           explore,20,  0.15,  0.05,  -- *----           |                   ,  0.05,  0.34, 11.48
 3,       gpt/explore,20,  0.15,  0.08,  -  *---            |                   ,  0.05,  0.24, 243.15
#
 4,            PI_GPM,25,  0.15,  0.03,     *-              |                   ,  0.05,  0.20, 959.80
 4,       gpt/explore,25,  0.15,  0.01,  ---*---            |                   ,  0.05,  0.34, 228.35
 4,              DEHB,25,  0.16,  0.08,  -  * ---           |                   ,  0.05,  0.28, 21.28
 4,           UCB_GPM,25,  0.16,  0.04,     *               |                   ,  0.11,  0.17, 1072.81
 4,            random,20,  0.16,  0.05,  -- *--             |                   ,  0.05,  0.40, 0.00
 4,           UCB_GPM,20,  0.17,  0.00,   ---*              |                   ,  0.11,  0.22, 557.46
 4,            EI_GPM,20,  0.17,  0.04,      *              |                   ,  0.08,  0.19, 545.22
 4,            random,25,  0.17,  0.04,    - *              |                   ,  0.11,  0.21, 0.00
 4,            EI_GPM,25,  0.17,  0.05,   -  *              |                   ,  0.11,  0.20, 1072.18
 4,           UCB_GPM,30,  0.17,  0.03,   -  *              |                   ,  0.11,  0.20, 1033.46
 4,            PI_GPM,30,  0.17,  0.05,   -  *              |                   ,  0.09,  0.20, 1345.54
 4,            EI_GPM,30,  0.17,  0.04,      *              |                   ,  0.12,  0.22, 946.60
 4,            random,30,  0.17,  0.05,   -- *--            |                   ,  0.05,  0.30, 0.00
 4,               TPE,20,  0.18,  0.08,  --  *--            |                   ,  0.05,  0.27, 323.53
#
 5,              DEHB,20,  0.22,  0.08,   ---  * -          |                   ,  0.08,  0.31, 45.62
 5,               rrp,10,  0.25,  0.24,     --  *       ----|----------         ,  0.15,  0.82, 0.76
#
 6,         baseline,500,  0.50,  0.31,       ------       *|    -------        ,  0.05,  1.00, 0.00
