#
 0,            EI_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 431.90
 0,            PI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 652.16
 0,           UCB_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 1207.55
 0,           UCB_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 297.30
 0,    gemini/exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.04, 34.34
 0,           UCB_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 603.44
 0,            PI_GPM,30,  0.00,  0.00, *                   |                   ,  0.00,  0.02, 289.74
 0,            EI_GPM,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 593.99
 0,       gpt/exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.03, 275.09
 0,            PI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 1258.37
 0,       gpt/exploit,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 218.23
 0,    gemini/exploit,30,  0.00,  0.00, *--                 |                   ,  0.00,  0.05, 15.07
 0,            EI_GPM,25,  0.00,  0.00, *                   |                   ,  0.00,  0.00, 929.24
 0,    gemini/exploit,20,  0.00,  0.00, *                   |                   ,  0.00,  0.08, 71.04
 0,           exploit,25,  0.00,  0.00, *-                  |                   ,  0.00,  0.05, 12.33
 0,           exploit,30,  0.00,  0.00, *--                 |                   ,  0.00,  0.04, 4.47
 0,       gpt/exploit,30,  0.00,  0.00, *                   |                   ,  0.00,  0.03, 211.69
 0,           exploit,20,  0.00,  0.00, *-                  |                   ,  0.00,  0.04, 18.03
 0,           explore,20,  0.00,  0.00, *-                  |                   ,  0.00,  0.03, 18.65
 0,               TPE,25,  0.00,  0.00, *                   |                   ,  0.00,  0.03, 2986.39
 0,             DEHB,100,  0.00,  0.00, *-----------------  |                   ,  0.00,  0.24, 73.76
 0,           explore,25,  0.00,  0.00, *                   |                   ,  0.00,  0.04, 11.92
 0,               TPE,30,  0.00,  0.00, *                   |                   ,  0.00,  0.01, 523.54
 0,            random,30,  0.00,  0.00, *                   |                   ,  0.00,  0.02, 0.00
 0,            random,25,  0.00,  0.00, *                   |                   ,  0.00,  0.02, 0.00
 0,            random,20,  0.00,  0.00, *                   |                   ,  0.00,  0.04, 0.00
 0,    gemini/explore,30,  0.00,  0.00, *-                  |                   ,  0.00,  0.03, 14.90
 0,    gemini/explore,20,  0.00,  0.00, *                   |                   ,  0.00,  0.03, 71.16
 0,    gemini/explore,25,  0.00,  0.01, *                   |                   ,  0.00,  0.02, 30.19
 0,           explore,30,  0.00,  0.01, *-                  |                   ,  0.00,  0.03, 4.10
 0,               TPE,20,  0.00,  0.00, *                   |                   ,  0.00,  0.02, 4421.69
 0,       gpt/explore,25,  0.00,  0.00, *                   |                   ,  0.00,  0.04, 218.72
 0,       gpt/explore,20,  0.00,  0.01, *-                  |                   ,  0.00,  0.03, 327.88
#
 1,               rrp,13,  0.00,  0.03, * --                |                   ,  0.00,  0.06, 1.94
 1,              DEHB,25,  0.01,  0.09, *      -------------|                   ,  0.00,  0.27, 59.40
 1,              DEHB,30,  0.01,  0.15, *           ------  |                   ,  0.00,  0.27, 56.48
 1,       gpt/explore,30,  0.01,  0.02, *                   |                   ,  0.00,  0.03, 220.79
#
 2,        baseline,3840,  0.15,  0.04, ---------   *       |                   ,  0.00,  0.21, 0.06
 2,              DEHB,20,  0.16,  0.19, -----       *      -|----               ,  0.00,  0.50, 51.22
