#
 0,             DEHB,100,  0.01,  0.00,  *                  |                   ,  0.00,  0.01, 82.69
#
 1,            EI_GPM,30,  0.01,  0.00, -*                  |                   ,  0.01,  0.01, 308.38
 1,            EI_GPM,25,  0.01,  0.00,  *                  |                   ,  0.01,  0.01, 1537.84
 1,           UCB_GPM,20,  0.01,  0.00, -*                  |                   ,  0.01,  0.02, 574.73
 1,           UCB_GPM,30,  0.01,  0.00, -*                  |                   ,  0.01,  0.02, 495.01
#
 2,            PI_GPM,30,  0.01,  0.00, -*                  |                   ,  0.01,  0.01, 484.68
 2,              DEHB,30,  0.01,  0.00, -*                  |                   ,  0.00,  0.02, 44.57
 2,           UCB_GPM,25,  0.01,  0.00,  *                  |                   ,  0.01,  0.01, 813.71
 2,            PI_GPM,25,  0.01,  0.00, -*                  |                   ,  0.01,  0.02, 977.63
 2,            PI_GPM,20,  0.01,  0.00,  *                  |                   ,  0.01,  0.01, 622.59
#
 3,            EI_GPM,20,  0.01,  0.00, -*                  |                   ,  0.01,  0.01, 609.43
 3,              DEHB,20,  0.01,  0.00,  *                  |                   ,  0.01,  0.02, 27.35
 3,              DEHB,25,  0.01,  0.00,  *                  |                   ,  0.01,  0.02, 34.49
#
 4,            random,30,  0.02,  0.00,  *                  |                   ,  0.01,  0.02, 0.00
 4,               TPE,20,  0.02,  0.00,  *                  |                   ,  0.01,  0.06, 3130.89
 4,       gpt/exploit,20,  0.02,  0.00,  *---               |                   ,  0.01,  0.05, 300.11
 4,    gemini/exploit,25,  0.02,  0.00,  *-                 |                   ,  0.01,  0.05, 13.66
 4,    gemini/exploit,20,  0.02,  0.00,  *---               |                   ,  0.01,  0.07, 59.41
 4,           exploit,25,  0.02,  0.00,  *                  |                   ,  0.01,  0.04, 3.60
 4,       gpt/exploit,25,  0.02,  0.01,  *---               |                   ,  0.01,  0.05, 239.98
 4,               TPE,30,  0.02,  0.00,  *                  |                   ,  0.00,  0.02, 370.51
 4,               rrp,12,  0.02,  0.00,  *                  |                   ,  0.01,  0.37, 12.51
 4,            random,20,  0.02,  0.00,  *                  |                   ,  0.01,  0.03, 0.00
 4,            random,25,  0.02,  0.00,  *                  |                   ,  0.01,  0.03, 0.01
 4,    gemini/exploit,30,  0.02,  0.00,  *-                 |                   ,  0.01,  0.03, 17.03
 4,       gpt/exploit,30,  0.02,  0.00,  *                  |                   ,  0.01,  0.05, 213.31
 4,               TPE,25,  0.02,  0.00,  *                  |                   ,  0.01,  0.02, 3094.83
 4,           exploit,30,  0.02,  0.00,  *-----             |                   ,  0.01,  0.11, 4.98
 4,           exploit,20,  0.02,  0.01,  *-----             |                   ,  0.01,  0.10, 22.28
 4,           explore,20,  0.02,  0.01,  *---------         |                   ,  0.01,  0.15, 10.45
#
 5,    gemini/explore,20,  0.02,  0.01,  *--                |                   ,  0.01,  0.05, 80.92
 5,    gemini/explore,25,  0.02,  0.01,   *--               |                   ,  0.01,  0.08, 13.22
 5,    gemini/explore,30,  0.02,  0.01,   *-----            |                   ,  0.01,  0.08, 14.19
 5,       gpt/explore,25,  0.02,  0.01,   *--               |                   ,  0.00,  0.05, 252.82
 5,           explore,30,  0.02,  0.02,   *---              |                   ,  0.01,  0.07, 3.87
 5,           explore,25,  0.02,  0.02,   * -------         |                   ,  0.01,  0.15, 2.25
 5,       gpt/explore,30,  0.02,  0.02,   *---              |                   ,  0.01,  0.08, 217.12
#
 6,       gpt/explore,20,  0.04,  0.03,  -  *---            |                   ,  0.01,  0.12, 284.28
#
 7,        baseline,2866,  0.06,  0.14,  ---  *            -|---------          ,  0.01,  0.37, 0.00
